game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
1,15.0,1,20,1,23,224,21,3,2001-02,6,0,3,2,DET,SC,2,,NHL
0,0.0,-3,9,0,24,75,4,0,2002-03,0,0,0,0,DET,,0,,NHL
0,0.0,1,19,0,25,209,12,6,2003-04,6,0,0,0,DET,,2,,NHL
0,0.0,0,11,0,27,100,5,3,2005-06,3,0,0,0,DET,,0,,NHL
2,12.1,2,66,4,28,397,18,8,2006-07,16,0,8,4,DET,,8,,NHL
1,13.5,13,74,4,29,477,0,13,2007-08,23,0,10,6,DET,SC,6,137,NHL
0,1.9,5,52,1,30,321,16,8,2008-09,9,0,1,0,DET,,9,89,NHL
1,15.4,3,39,1,31,226,12,7,2009-10,13,0,6,5,DET,,8,70,NHL
0,10.5,10,38,2,32,233,11,11,2010-11,15,0,4,2,DET,,8,65,NHL
0,9.1,0,11,0,33,106,5,2,2011-12,3,0,1,1,DET,,2,21,NHL
0,7.7,2,39,0,34,294,14,6,2012-13,9,0,3,3,DET,,4,64,NHL
1,27.3,1,11,1,35,106,5,2,2013-14,5,0,3,2,DET,,0,16,NHL
1,17.6,-3,17,1,36,134,7,2,2014-15,5,0,3,2,DET,,2,22,NHL
0,0.0,2,18,0,37,92,5,0,2015-16,0,0,0,0,DET,,4,28,NHL
