game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
1,0,4,79,0,0,70,24,0,2001-02,15,0,11,2,4,NHL,13.9,9,0,0,0,23,0,13:39,"[{'link': '/awards/voting-2002.html#calder', 'name': 'Calder-4'}]",35,0,9,955,DET
1,0,20,82,0,0,64,39,0,2002-03,26,0,12,1,16,NHL,14.6,13,0,0,0,24,0,15:28,[],51,0,11,989,DET
4,0,-2,136,0,0,75,38,0,2003-04,23,1,30,8,35,NHL,22.1,15,0,0,0,25,0,18:16,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2004.html#byng', 'name': 'Byng-20'}, {'link': '/awards/voting-2004.html#hart', 'name': 'Hart-20'}]",68,0,21,1370,DET
4,0,26,145,0,0,75,59,0,2005-06,31,0,28,11,22,NHL,19.3,28,0,0,0,27,0,17:53,"[{'link': '/awards/voting-2006.html#AS', 'name': 'AS-4'}, {'link': '/awards/byng.html#2006', 'name': None}, {'link': '/awards/voting-2006.html#hart', 'name': 'Hart-21'}]",87,0,17,1342,DET
5,0,36,207,0,1,79,60,0,2006-07,35,2,27,5,20,NHL,13.0,24,0,0,0,28,0,19:57,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-8'}, {'link': '/awards/byng.html#2007', 'name': None}, {'link': '/awards/voting-2007.html#selke', 'name': 'Selke-20'}]",87,0,20,1577,DET
6,144,0,264,380,0,82,66,452,2007-08,36,1,31,10,20,NHL,11.7,30,40,54.3,42,29,438,21:23,"[{'link': '/awards/voting-2008.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-2008.html#AS', 'name': 'AS-6'}, {'link': '/awards/byng.html#2008', 'name': None}, {'link': '/awards/voting-2008.html#hart', 'name': 'Hart-9'}, {'link': '/awards/selke.html#2008', 'name': None}]",97,68,20,1753,DET
3,89,34,248,489,1,81,65,621,2008-09,39,1,32,11,22,NHL,12.9,25,75,55.9,33,30,442,19:13,"[{'link': '/awards/nhl_all_star.html#2009', 'name': None}, {'link': '/awards/byng.html#2009', 'name': None}, {'link': '/awards/voting-2009.html#hart', 'name': 'Hart-3'}, {'link': '/awards/selke.html#2009', 'name': None}]",97,49,20,1556,DET
3,131,17,203,478,0,80,43,589,2009-10,27,0,27,9,18,NHL,13.3,16,85,55.2,33,31,368,20:21,"[{'link': '/awards/voting-2010.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2010.html#byng', 'name': 'Byng-3'}, {'link': '/awards/selke.html#2010', 'name': None}]",70,71,18,1628,DET
5,71,11,137,356,0,56,36,429,2010-11,24,1,23,6,15,NHL,16.8,12,54,54.6,20,32,257,19:19,"[{'link': '/awards/voting-2011.html#byng', 'name': 'Byng-9'}, {'link': '/awards/voting-2011.html#selke', 'name': 'Selke-3'}]",59,38,16,1082,DET
5,97,21,164,547,0,70,48,702,2011-12,29,0,19,4,14,NHL,11.6,19,76,56.2,31,33,300,19:34,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-2012.html#byng', 'name': 'Byng-9'}, {'link': '/awards/voting-2012.html#hart', 'name': 'Hart-14'}, {'link': '/awards/voting-2012.html#selke', 'name': 'Selke-3'}]",67,40,15,1370,DET
6,56,21,107,399,3,47,34,488,2012-13,23,0,15,8,14,NHL,14.0,8,31,55.0,30,34,217,20:11,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2013.html#byng', 'name': 'Byng-4'}, {'link': '/awards/voting-2013.html#hart', 'name': 'Hart-10'}, {'link': '/awards/voting-2013.html#selke', 'name': 'Selke-3'}]",49,38,7,949,DET
2,59,1,126,389,0,45,20,446,2013-14,14,0,17,6,6,NHL,13.5,6,30,53.4,22,35,215,20:16,"[{'link': '/awards/voting-2014.html#byng', 'name': 'Byng-18'}, {'link': '/awards/voting-2014.html#selke', 'name': 'Selke-13'}]",37,21,11,912,DET
5,59,12,165,517,0,63,39,601,2014-15,23,0,26,8,8,NHL,15.8,16,51,53.8,28,36,291,19:03,"[{'link': '/awards/voting-2015.html#AS', 'name': 'AS-13'}, {'link': '/awards/voting-2015.html#byng', 'name': 'Byng-2'}, {'link': '/awards/voting-2015.html#selke', 'name': 'Selke-5'}]",65,29,18,1200,DET
1,48,7,181,517,0,66,33,599,2015-16,21,0,16,8,14,NHL,8.8,12,70,53.7,33,37,323,19:39,"[{'link': '/awards/voting-2016.html#byng', 'name': 'Byng-6'}, {'link': '/awards/voting-2016.html#selke', 'name': 'Selke-9'}]",49,26,8,1297,DET
