pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,London Athletic Club,0,0,9,OHA-Int.,9,1930-31,16,9
0,London Diamonds,4,0,12,OHA-Jr.,6,1931-32,17,8
12,Stratford Midgets,7,0,11,OHA,6,1932-33,18,4
18,Stratford Midgets,17,0,43,OHA-Jr.,13,1933-34,19,26
29,Charlottetown Abbies,4,0,19,MSHL,20,1934-35,20,15
15,Saint John St. Peters,25,0,60,SJCHL,17,1934-35,20,35
6,Saint John Beavers,1,0,2,Exhib.,2,1934-35,20,1
17,London Tecumsehs,3,0,9,IHL,17,1935-36,21,6
14,Boston Cubs,14,0,30,Can-Am,29,1935-36,21,16
2,Hershey Bears,4,0,5,IAHL,4,1938-39,24,1
