season,points_percentage,coaches,playoff_result,code,ties,team_name,wins,games_played,loses,overtime_loses,points,leage,finishing_position
2017-18,0,"[{'link': '/coaches/tocchri01c.html', 'name': 'R. Tocchet'}]",,ARI,0,Arizona Coyotes,0,0,0,0,0,NHL,
2016-17,.427,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",,ARI,0,Arizona Coyotes,30,82,42,10,70,NHL,6th
2015-16,.476,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",,ARI,0,Arizona Coyotes,35,82,39,8,78,NHL,4th
2014-15,.341,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",,ARI,0,Arizona Coyotes,24,82,50,8,56,NHL,7th
2013-14,.543,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",,PHX,0,Phoenix Coyotes,37,82,30,15,89,NHL,4th
2012-13,.531,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",,PHX,0,Phoenix Coyotes,21,48,18,9,51,NHL,4th
2011-12,.591,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",Lost NHL Conference Finals,PHX,0,Phoenix Coyotes,42,82,27,13,97,NHL,1st
2010-11,.604,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",Lost NHL Conference Quarter-Finals,PHX,0,Phoenix Coyotes,43,82,26,13,99,NHL,2nd
2009-10,.652,"[{'link': '/coaches/tippeda01c.html', 'name': 'D. Tippett'}]",Lost NHL Conference Quarter-Finals,PHX,0,Phoenix Coyotes,50,82,25,7,107,NHL,2nd
2008-09,.482,"[{'link': '/coaches/gretzwa01c.html', 'name': 'W. Gretzky'}]",,PHX,0,Phoenix Coyotes,36,82,39,7,79,NHL,4th
2007-08,.506,"[{'link': '/coaches/gretzwa01c.html', 'name': 'W. Gretzky'}]",,PHX,0,Phoenix Coyotes,38,82,37,7,83,NHL,4th
2006-07,.409,"[{'link': '/coaches/gretzwa01c.html', 'name': 'W. Gretzky'}]",,PHX,0,Phoenix Coyotes,31,82,46,5,67,NHL,5th
2005-06,.494,"[{'link': '/coaches/gretzwa01c.html', 'name': 'W. Gretzky'}]",,PHX,0,Phoenix Coyotes,38,82,39,5,81,NHL,5th
2003-04,.415,"[{'link': '/coaches/francbo01c.html', 'name': 'B. Francis'}, {'link': '/coaches/bowneri01c.html', 'name': 'R. Bowness'}]",,PHX,18,Phoenix Coyotes,22,82,36,6,68,NHL,5th
2002-03,.476,"[{'link': '/coaches/francbo01c.html', 'name': 'B. Francis'}]",,PHX,11,Phoenix Coyotes,31,82,35,5,78,NHL,4th
2001-02,.579,"[{'link': '/coaches/francbo01c.html', 'name': 'B. Francis'}]",Lost NHL Conference Quarter-Finals,PHX,9,Phoenix Coyotes,40,82,27,6,95,NHL,2nd
2000-01,.549,"[{'link': '/coaches/francbo01c.html', 'name': 'B. Francis'}]",,PHX,17,Phoenix Coyotes,35,82,27,3,90,NHL,4th
1999-00,.549,"[{'link': '/coaches/francbo01c.html', 'name': 'B. Francis'}]",Lost NHL Conference Quarter-Finals,PHX,8,Phoenix Coyotes,39,82,31,4,90,NHL,3rd
1998-99,.549,"[{'link': '/coaches/schoeji01c.html', 'name': 'J. Schoenfeld'}]",Lost NHL Conference Quarter-Finals,PHX,12,Phoenix Coyotes,39,82,31,0,90,NHL,2nd
1997-98,.500,"[{'link': '/coaches/schoeji01c.html', 'name': 'J. Schoenfeld'}]",Lost NHL Conference Quarter-Finals,PHX,12,Phoenix Coyotes,35,82,35,0,82,NHL,4th
1996-97,.506,"[{'link': '/coaches/haydo99c.html', 'name': 'D. Hay'}]",Lost NHL Conference Quarter-Finals,PHX,7,Phoenix Coyotes,38,82,37,0,83,NHL,3rd
