age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,6.3,0,2,-5,NHL,11,0,1991-92,0,16,1,,1,0,,DET,3
22,,12.5,0,0,-2,NHL,7,0,1992-93,0,8,1,,1,0,,DET,1
23,,15.0,1,2,4,NHL,7,1,1993-94,0,20,3,,1,0,,DET,5
24,,10.8,1,12,4,NHL,18,0,1994-95,2,37,4,,3,8,,DET,16
25,,10.0,4,9,2,NHL,19,0,1995-96,0,50,5,,1,10,,DET,14
26,SC,2.5,2,6,12,NHL,0,0,1996-97,0,79,2,,0,2,,DET,8
27,SC,10.2,4,13,0,NHL,0,0,1997-98,2,59,6,,2,8,,DET,19
28,,6.9,0,9,0,NHL,10,0,1998-99,0,29,2,304,2,4,,DET,11
29,,9.5,1,4,-6,NHL,9,0,1999-00,0,21,2,274,1,4,,DET,6
30,,6.7,1,7,1,NHL,6,0,2000-01,0,15,1,176,0,0,,DET,8
31,SC,12.2,2,11,6,NHL,0,1,2001-02,2,41,5,717,2,2,,DET,16
32,,0.0,0,2,-1,NHL,4,0,2002-03,0,15,0,134,0,0,,DET,2
33,,7.4,0,5,4,NHL,12,0,2003-04,0,27,2,324,2,4,,DET,7
35,,4.8,0,1,-4,NHL,6,0,2005-06,1,21,1,191,1,2,,DET,2
36,,10.3,0,14,0,NHL,18,0,2006-07,2,39,4,551,4,6,,DET,18
37,SC,7.3,1,10,8,NHL,0,1,2007-08,1,41,3,590,1,14,85,DET,13
38,,6.8,1,12,11,NHL,21,0,2008-09,1,59,4,539,3,6,116,DET,16
39,,10.3,1,6,7,NHL,12,0,2009-10,0,39,4,316,3,2,70,DET,10
40,,15.4,2,4,8,NHL,11,0,2010-11,0,26,4,240,2,4,47,DET,8
41,,0.0,0,0,0,NHL,5,0,2011-12,0,14,0,119,0,0,30,DET,0
