league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,71,0,19,58,13,2,,QUE,[],6.9,2,9,-32,4,1,1988-89,,1,71,0,7
NHL,68,0,20,42,8,0,,QUE,[],4.8,1,6,-41,2,0,1989-90,,1,44,0,6
NHL,55,1,21,57,10,1,,QUE,[],5.3,1,7,-19,3,0,1990-91,,2,49,0,6
NHL,42,1,22,61,17,7,,QUE,[],8.2,2,12,-28,5,0,1991-92,,3,42,0,5
NHL,82,2,23,73,32,4,,QUE,[],12.3,5,23,25,9,0,1992-93,,4,61,0,19
NHL,72,2,24,97,22,8,,QUE,[],5.2,2,17,-2,5,0,1993-94,,3,65,0,9
NHL,44,0,25,43,15,4,,QUE,"[{'link': '/awards/voting-1995.html#AS', 'name': 'AS-10'}]",4.7,2,13,29,2,0,1994-95,,0,20,2,7
NHL,77,1,26,76,19,2,,COL,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-18'}]",5.3,4,15,32,4,0,1995-96,,0,73,2,11
NHL,77,1,27,102,22,5,,TOT,[],3.9,2,18,-18,4,1,1996-97,,1,38,0,13
NHL,11,0,27,8,5,0,,COL,[],0.0,0,5,1,0,0,1996-97,,0,6,0,5
NHL,2,0,27,0,0,0,,WSH,[],0,0,0,0,0,0,1996-97,,0,2,0,0
NHL,64,1,27,94,17,5,,HAR,[],4.3,2,13,-19,4,1,1996-97,,1,30,0,8
NHL,73,1,28,53,12,1,,CAR,[],3.8,1,10,-2,2,0,1997-98,,1,45,0,9
NHL,65,0,29,35,9,1,1255,CAR,[],5.7,2,7,-1,2,0,1998-99,19:18,0,50,1,5
NHL,53,0,30,31,2,0,943,CAR,[],0.0,0,2,-19,0,0,1999-00,17:47,0,14,0,2
NHL,65,1,31,51,9,1,1263,TOT,[],3.9,1,7,5,2,0,2000-01,19:26,1,19,0,6
NHL,54,1,31,43,5,1,1054,MIN,[],4.7,1,3,-2,2,0,2000-01,19:31,1,19,0,2
NHL,11,0,31,8,4,0,210,OTT,[],0.0,0,4,7,0,0,2000-01,19:04,0,0,0,4
NHL,79,0,32,59,10,3,1459,OTT,[],1.7,1,9,-5,1,0,2001-02,18:28,0,44,0,6
NHL,54,0,33,30,7,0,822,OTT,[],3.3,1,6,11,1,0,2002-03,15:13,0,18,0,6
NHL,56,0,34,30,5,0,778,OTT,[],3.3,1,4,13,1,0,2003-04,13:54,0,16,0,4
