assists,year,games_played,points,goals,team,age,pim,plus_minus,league
22,2006-07,32,26,4,Ottawa Valley Titans,15,20,0,Minor-ON
39,2007-08,58,42,3,Kemptville 73\'s,16,14,0,ON-Jr.A
55,2008-09,68,63,8,Oshawa Generals,17,40,3,OHL
6,2008-09,6,6,0,Canada,17,0,6,WJ18-A
19,2009-10,34,24,5,Oshawa Generals,18,14,5,OHL
1,2009-10,4,1,0,Canada,18,0,4,WJC-A
42,2010-11,55,48,6,Oshawa Generals,19,48,13,OHL
5,2010-11,6,5,0,Canada,19,4,2,WJC-A
14,2011-12,56,16,2,Bridgeport Sound Tigers,20,24,-1,AHL
2,2012-13,3,2,0,Bridgeport Sound Tigers,21,4,1,AHL
2,2013-14,17,3,1,Bridgeport Sound Tigers,22,8,-5,AHL
