game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0.0,-3,5,0,22,,4,0,1988-89,0,0,0,0,NYR,,0,,NHL
0,5.3,-2,19,0,23,,7,4,1989-90,5,0,1,1,MNS,,2,,NHL
0,7.7,-4,26,0,24,,15,6,1990-91,8,0,2,2,MNS,,4,,NHL
0,0.0,0,13,0,25,,7,3,1991-92,3,0,0,0,MNS,,2,,NHL
1,16.7,-3,36,3,27,,14,2,1993-94,8,0,6,3,SJS,,0,,NHL
1,26.3,-13,19,3,28,,11,4,1994-95,9,0,5,2,SJS,,0,,NHL
0,0.0,0,2,0,30,,5,1,1996-97,1,0,0,0,CHI,,0,,NHL
0,0.0,-1,11,0,33,12:28,5,1,1999-00,1,0,0,0,WSH,,2,62,NHL
0,0.0,-2,10,0,34,15:58,6,1,2000-01,1,0,0,0,WSH,,2,96,NHL
0,5.3,-3,19,1,36,12:54,11,3,2002-03,4,0,1,0,DAL,,0,142,NHL
