year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1984-85,16,1,8,6,0,WHL,6,Portland Winter Hawks,7
1985-86,17,3,29,11,0,WHL,15,Portland Winter Hawks,14
1985-86,17,0,4,2,0,M-Cup,4,Portland Winter Hawks,2
1986-87,18,8,27,18,0,WHL,20,Portland Winter Hawks,26
