average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,12,2,0,NHL,25,5,10,6,53,7,0,0,0,1984-85,HAR,7,5,[],13.2,,33
,0,0,0,NHL,26,0,0,1,3,0,0,0,0,1985-86,HAR,0,0,[],0.0,,1
,0,0,0,NHL,27,0,2,-5,11,0,0,0,0,1986-87,NYR,0,0,[],0.0,,8
,43,1,1,NHL,28,18,46,-14,166,11,8,1,4,1987-88,LAK,20,23,[],12.0,,71
,28,0,0,NHL,29,12,39,-16,135,15,1,0,0,1988-89,TOT,16,12,[],11.9,,0
,5,0,0,NHL,29,3,6,-1,26,2,0,0,0,1988-89,LAK,2,3,[],7.7,,21
,23,0,0,NHL,29,9,33,-15,109,13,1,0,0,1988-89,WIN,14,9,[],12.8,,59
,50,1,1,NHL,30,16,40,2,152,27,4,0,2,1989-90,WIN,32,18,[],21.1,,0
,35,2,2,NHL,31,18,28,-5,133,10,2,0,3,1990-91,TOT,14,21,[],10.5,,78
,8,1,0,NHL,31,2,18,-4,28,3,1,0,2,1990-91,WIN,4,4,[],14.3,,17
,15,0,1,NHL,31,9,0,-3,46,3,1,0,1,1990-91,TOR,5,10,[],10.9,,30
,12,1,1,NHL,31,7,10,2,59,4,0,0,0,1990-91,CGY,5,7,[],8.5,,31
,15,1,2,NHL,32,4,33,-39,96,6,3,0,0,1991-92,SJS,11,4,[],11.5,,60
