pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,St. Michael\'s Buzzers,3,0,4,ON-Jr.B,6,1939-40,17,1
10,St. Michael\'s Majors,11,0,20,OHA-Jr.,17,1941-42,19,9
7,Toronto Kodaks,2,0,7,TMHL,8,1941-42,19,5
8,St. Michael\'s Majors,10,0,17,OHA-Jr.,20,1942-43,20,7
2,Toronto Staffords,9,0,13,TMHL,18,1942-43,20,4
4,2 Teams,23,0,30,AHL,52,1944-45,22,7
4,Hershey Bears,0,0,1,AHL,3,1944-45,22,1
0,Providence Reds,23,0,29,AHL,49,1944-45,22,6
2,Providence Reds,2,0,2,AHL,3,1945-46,23,0
15,Shawinigan Cataracts,11,0,12,QSHL,38,1945-46,23,1
25,Shawinigan Cataracts,5,0,7,QSHL,40,1946-47,24,2
9,Shawinigan Cataracts,7,0,7,QSHL,19,1947-48,25,0
