shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
8.3,1968-69,21,2,,0,12,0,1,-5,2,BOS,1,21,0,NHL,0,,16,3,[],0
16.1,1969-70,52,11,,0,62,0,8,8,11,TOT,10,22,0,NHL,1,,54,21,[],1
15.8,1969-70,16,1,,0,19,0,2,6,1,BOS,3,22,0,NHL,1,,23,4,[],0
16.3,1969-70,36,10,,0,43,0,6,2,10,TOR,7,22,0,NHL,0,,31,17,[],1
8.8,1970-71,108,17,,0,147,3,12,6,20,TOR,13,23,1,NHL,1,,78,33,[],0
12.8,1971-72,104,15,,0,149,2,14,-4,17,TOR,19,24,0,NHL,0,,66,36,[],5
0,1972-73,93,0,,0,0,0,25,0,47,ALO,39,25,6,WHA,6,,66,86,[],8
0,1973-74,99,0,,0,0,0,19,0,45,EDO,24,26,7,WHA,2,,47,69,[],3
13.2,1974-75,106,0,,0,152,0,14,-8,22,CLC,20,27,0,WHA,0,,60,42,[],6
15.7,1975-76,62,0,,0,216,0,23,4,38,CLC,34,28,5,WHA,2,,59,72,[],9
12.9,1976-77,97,18,,0,140,5,9,-26,23,CBH,18,29,3,NHL,1,,60,41,[],8
4.7,1977-78,31,7,,0,43,1,1,-3,8,CBH,2,30,0,NHL,0,,26,10,[],1
14.3,1978-79,22,4,,0,28,1,4,-6,5,CBH,4,31,0,NHL,0,,21,9,[],0
0.0,1979-80,0,0,,0,3,0,0,-1,0,EDM,0,32,0,NHL,0,,3,0,[],0
