average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
11:49,0,2,0,0,0,NHL,20,0,0,0,1,10,0,2,0,0,0,0,0,2006-07,CHI,2,0,0,0,20.0,35,3,[]
9:08,5,0,0,0,1,NHL,21,0,0,2,-1,3,0,0,0,0,0,0,1,2007-08,CHI,0,7,0,0,0.0,37,4,[]
9:36,32,4,1,0,2,NHL,23,1,0,5,4,20,0.0,3,2,0,0,0,4,2009-10,CHI,3,22,1,0,15.0,154,16,[]
13:50,219,37,2,0,13,NHL,24,19,3,40,6,130,25.0,15,9,2,0,1,34,2010-11,CHI,17,178,20,7,13.1,1079,78,[]
12:08,162,24,0,0,23,NHL,25,15,0,48,-3,84,0.0,9,1,0,0,0,21,2011-12,CHI,9,128,15,22,10.7,862,71,[]
12:48,149,23,2,0,13,NHL,26,14,2,25,12,82,33.3,9,4,0,0,0,23,2012-13,CHI,9,108,14,11,11.0,615,0,[]
11:21,179,15,2,0,10,NHL,27,4,1,28,-6,93,50.0,11,1,0,0,0,10,2013-14,CHI,11,105,4,8,11.8,670,59,[]
12:05,195,28,3,0,13,NHL,28,12,0,38,5,113,0.0,13,2,1,0,2,26,2014-15,CHI,14,205,14,20,12.4,966,80,[]
9:47,44,2,0,0,10,NHL,29,2,2,2,-5,21,100.0,0,0,0,0,0,4,2015-16,CHI,0,58,2,7,0.0,245,25,[]
10:26,20,1,1,0,3,NHL,30,0,0,4,-4,8,0.0,0,2,1,0,0,3,2016-17,CAR,1,16,0,2,12.5,115,11,[]
