year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2012-13,19,4,23,13,0,CCHA,33,Alaska-Fairbanks,17
2013-14,20,7,16,19,0,WCHA,37,Alaska-Fairbanks,26
2014-15,21,4,6,3,4,AHL,17,Chicago Wolves,7
2014-15,21,6,16,17,4,WCHA,34,Alaska-Fairbanks,23
2016-17,23,0,2,3,3,WCup,3,Team North America,3
