assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Montreal Bell Telephone,1,1928-29,2,2,2,19,0,MTRHL
0,Montreal Columbus,2,1929-30,10,2,2,20,0,MCHL
0,Montreal Columbus,3,1930-31,9,3,6,21,0,MCHL
1,Boston Cubs,2,1931-32,18,3,6,22,0,Can-Am
1,Montreal AAA,4,1931-32,8,5,12,22,0,MCHL
1,Boston Cubs,4,1932-33,23,5,10,23,0,Can-Am
5,Boston Cubs,10,1933-34,38,15,16,24,0,Can-Am
1,Syracuse Stars,0,1934-35,5,1,0,25,0,IHL
15,Boston Cubs,11,1934-35,40,26,20,25,0,Can-Am
4,Boston Cubs,3,1935-36,22,7,14,26,0,Can-Am
3,Calgary Tigers,4,1935-36,14,7,0,26,0,NWHL
0,St. Louis Flyers,1,1936-37,7,1,2,27,0,AHA
16,2 Teams,12,1937-38,42,28,4,28,0,AHA
15,St. Paul Saints,12,1937-38,34,27,4,28,0,AHA
1,St. Louis Flyers,0,1937-38,8,1,0,28,0,AHA
25,St. Louis Flyers,16,1938-39,47,41,31,29,0,AHA
29,St. Louis Flyers,24,1939-40,48,53,18,30,0,AHA
24,St. Louis Flyers,13,1940-41,48,37,10,31,0,AHA
10,St. Louis Flyers,7,1941-42,42,17,8,32,0,AHA
2,Montreal Royals,0,1942-43,9,2,2,33,0,QSHL
3,Montreal RCAF,2,1942-43,7,5,2,33,0,MCHL
0,Montreal RCAF,0,1943-44,4,0,0,34,0,MNDHL
18,Montreal RCAF,6,1944-45,12,24,0,35,0,MCHL
