assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Montreal Columbus,0,1930-31,2,0,6,21,0,MCHL
0,Boston Cubs,1,1931-32,5,1,6,22,0,Can-Am
1,Boston Cubs,0,1933-34,3,1,0,24,0,Can-Am
0,Boston Cubs,1,1934-35,3,1,0,25,0,Can-Am
4,St. Louis Flyers,3,1938-39,7,7,2,29,0,AHA
2,St. Louis Flyers,1,1939-40,5,3,5,30,0,AHA
1,Omaha Knights,1,1939-40,3,2,0,30,0,AHA
3,St. Louis Flyers,0,1940-41,9,3,2,31,0,AHA
0,St. Louis Flyers,0,1941-42,3,0,2,32,0,AHA
1,Montreal RCAF,4,1942-43,2,5,2,33,0,MCHL
0,Montreal RCAF,0,1943-44,2,0,0,34,0,MNDHL
3,Montreal RCAF,1,1944-45,6,4,6,35,0,MCHL
0,Valleyfield Braves,0,1944-45,1,0,0,35,0,QPHL
