pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Roseau Rams,29,0,55,High-MN,26,1983-84,18,26
26,University of Minnesota,8,0,16,WCHA,44,1984-85,19,8
24,University of Minnesota,16,0,22,WCHA,38,1985-86,20,6
52,University of Minnesota,22,0,39,WCHA,48,1986-87,21,17
42,University of Minnesota,21,0,39,WCHA,38,1987-88,22,18
133,Denver Rangers,31,0,59,IHL,77,1988-89,23,28
55,Flint Spirits,9,0,26,IHL,28,1989-90,24,17
4,Binghamton Rangers,2,0,4,AHL,8,1990-91,25,2
42,Worcester IceCats,21,0,43,AHL,50,1995-96,30,22
82,Fort Wayne Komets,28,0,47,IHL,59,1996-97,31,19
80,Cincinnati Cyclones,12,-22,21,IHL,81,1997-98,32,9
100,Berlin Capitals,15,0,23,Germany,50,1998-99,33,8
2,United States,0,0,0,WC-Q,3,1998-99,33,0
