assists,team,goals,year,games_played,points,pim,age,plus_minus,league
60,Toronto Marlboros,48,1979-80,39,108,0,17,0,MTHL
3,Port Credit Titans,2,1979-80,3,5,0,17,0,ON-Jr.B
43,Sault Ste. Marie Greyhounds,43,1980-81,66,86,45,18,0,OMJHL
48,2 Teams,50,1981-82,64,98,43,19,0,OHL
10,Sault Ste. Marie Greyhounds,15,1981-82,20,25,20,19,0,OHL
38,Kingston Canadians,35,1981-82,44,73,23,19,0,OHL
96,Kingston Canadians,52,1982-83,67,148,64,20,0,OHL
7,Indianapolis Checkers,2,1982-83,9,9,0,20,0,CHL
46,Indianapolis Checkers,29,1983-84,66,75,40,21,0,CHL
35,Springfield Indians,29,1984-85,69,64,38,22,0,AHL
30,Springfield Indians,31,1985-86,79,61,66,23,0,AHL
80,Indianapolis Checkers,55,1986-87,82,135,57,24,0,IHL
63,Peoria Rivermen,53,1987-88,78,116,61,25,0,IHL
57,Indianapolis Ice,43,1988-89,81,100,24,26,0,IHL
39,Fort Wayne Komets,36,1989-90,82,75,52,27,0,IHL
39,Kansas City Blades,42,1990-91,64,81,41,28,0,IHL
19,Kansas City Blades,16,1991-92,38,35,30,29,0,IHL
12,Wichita Thunder,6,1992-93,11,18,20,30,0,CHL
8,2 Teams,1,1992-93,24,9,18,30,0,IHL
7,Peoria Rivermen,0,1992-93,18,7,16,30,0,IHL
1,Kansas City Blades,1,1992-93,6,2,2,30,0,IHL
80,Wichita Thunder,29,1993-94,57,109,98,31,0,CHL
10,Sheffield Steelers,10,1994-95,12,20,31,32,0,BH-Cup
6,Sheffield Steelers,8,1994-95,6,14,2,32,0,Britain
0,Denver Grizzlies,0,1994-95,1,0,0,32,0,IHL
45,Wichita Thunder,24,1994-95,46,69,72,32,0,CHL
1,Huntsville Channel Cats,3,1995-96,3,4,0,33,0,SHL
65,Louisiana IceGators,20,1995-96,58,85,34,33,0,ECHL
67,Louisiana IceGators,33,1996-97,66,100,58,34,0,ECHL
33,Huntsville Channel Cats,27,1997-98,46,60,50,35,11,CHL
10,Lake Charles Ice Pirates,5,1998-99,15,15,21,36,1,WPHL
1,Arkansas RiverBlades,1,1999-00,9,2,8,37,-8,ECHL
