pim,team,assists,plus_minus,points,league,games_played,year,age,goals
28,Lac St-Louis Lions,3,0,5,QAAA,11,1983-84,15,2
16,Lac St-Louis Lions,11,0,20,QAAA,11,1984-85,16,9
0,Rochester Americans,0,0,0,AHL,6,1987-88,19,0
4,Rochester Americans,0,0,1,AHL,9,1989-90,21,1
8,ES Weisswasser,4,0,9,Germany,6,1991-92,23,5
19,Hershey Bears,3,0,5,AHL,6,1994-95,26,2
0,Milwaukee Admirals,7,0,7,IHL,5,1995-96,27,0
2,Augsburger Panther,0,0,1,Germany,2,1999-00,31,1
2,Nurnberg Ice Tigers,0,0,0,Germany,4,2001-02,33,0
8,Nurnberg Ice Tigers,3,0,3,Germany,5,2002-03,34,0
