age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,SC,7.1,1,4,6,NHL,11,0,1972-73,1,14,1,,0,9,,MTL,5
22,,0.0,0,1,-1,NHL,6,0,1973-74,0,7,0,,0,26,,MTL,1
23,,0.0,0,4,3,NHL,11,0,1974-75,0,24,0,,0,27,,MTL,4
24,SC,14.3,3,3,11,NHL,13,0,1975-76,1,21,3,,0,10,,MTL,6
25,SC,4.8,1,10,14,NHL,0,0,1976-77,0,42,2,,1,12,,MTL,12
26,SC,9.8,2,0,0,NHL,0,0,1977-78,0,41,4,,2,6,,MTL,0
27,SC,16.7,5,9,16,NHL,16,0,1978-79,1,36,6,,1,8,,MTL,15
28,,0.0,0,4,9,NHL,10,0,1979-80,0,27,0,,0,2,,MTL,4
29,,0.0,0,1,-9,NHL,3,0,1980-81,0,8,0,,0,2,,MTL,1
30,,0.0,0,1,3,NHL,5,0,1981-82,0,6,0,,0,8,,MTL,1
31,,0.0,0,0,-1,NHL,3,0,1982-83,0,9,0,,0,2,,MTL,0
32,,0.0,0,5,6,NHL,15,0,1983-84,0,27,0,,0,22,,MTL,5
33,,15.0,2,8,0,NHL,12,0,1984-85,0,20,3,,1,8,,MTL,11
34,SC,0.0,0,13,4,NHL,20,0,1985-86,0,42,0,,0,22,,MTL,13
35,,7.5,1,17,4,NHL,17,0,1986-87,0,40,3,,2,6,,MTL,20
36,,10.0,1,4,-3,NHL,11,0,1987-88,0,10,1,,0,4,,MTL,5
37,,13.3,2,8,9,NHL,21,0,1988-89,0,15,2,,0,12,,MTL,10
38,,16.7,2,3,2,NHL,10,0,1989-90,0,12,2,,0,10,,LAK,5
39,,6.7,1,4,7,NHL,12,0,1990-91,0,15,1,,0,15,,LAK,5
40,,0.0,0,0,-2,NHL,2,0,1991-92,0,1,0,,0,0,,LAK,0
