goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
-0.1,0,NHL,1,MTL,13,20,0,0,0,3,0,0,0,0,0,0,0,0,0,.500,1989-90,6,13.85,0,[],3
2.8,0,NHL,21,MTL,975,21,9,95,1,52,0,2.60,2,1,7,1,0,0,0,.891,1990-91,479,3.20,0,[],427
1.3,0,NHL,9,MTL,436,22,3,0,0,23,0,0,3,0,0,0,0,0,0,.895,1991-92,219,3.17,0,[],196
3.4,0,NHL,26,MTL,1433,23,5,103,1,81,0,-2.51,1,1,17,1,0,0,0,.881,1992-93,682,3.39,6,[],601
0.3,0,NHL,11,MTL,500,24,6,0,0,37,0,0,2,0,2,0,0,0,0,.850,1993-94,246,4.44,0,[],209
