goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1926-27,6,,252,2,0,0,0,0,0,MTL,1,0,0,1.43,31,NHL,0,0,4,0,1,1
0,0,0,1927-28,3,,128,1,0,0,0,0,0,MTL,0,0,0,1.41,32,NHL,0,0,2,0,0,1
0,0,0,1928-29,5,,180,0,0,0,0,0,0,MTL,0,0,0,1.67,33,NHL,0,0,3,0,0,0
0,0,0,1929-30,6,SC,0,1,0,0,0,0,0,MTL,0,0,0,0,34,NHL,0,0,0,0,0,0
0,0,0,1930-31,0,SC,0,0,0,0,0,0,0,MTL,0,0,0,1.75,35,NHL,0,0,0,0,0,0
0,0,0,1931-32,13,,300,0,0,0,0,0,0,MTL,0,0,0,2.60,36,NHL,0,0,4,0,1,3
0,0,0,1932-33,8,,120,1,0,0,0,0,0,MTL,0,0,0,4.00,37,NHL,0,0,2,0,0,1
0,0,0,1933-34,11,,302,0,0,0,0,0,0,TOR,0,0,0,2.19,38,NHL,0,0,5,0,2,3
0,0,0,1934-35,0,,0,0,0,0,0,0,0,TOR,0,0,0,1.57,39,NHL,0,0,0,0,3,0
0,0,0,1935-36,0,,0,0,0,0,0,0,0,TOR,0,0,0,2.99,40,NHL,0,0,0,0,4,0
