goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,10.1,0,0,1926-27,"[{'link': '/awards/vezina.html#1927', 'name': None}]",67,2732,2,0,0,0,0,0,MTL,0,0,0,1.47,31,NHL,0,0,0,0,28,14
0,0,0,0,1927-28,"[{'link': '/awards/vezina.html#1928', 'name': None}]",48,2730,7,0,0,0,0,0,MTL,13,0,0,0,32,NHL,0,0,0,0,0,11
0,0,0,0,1928-29,"[{'link': '/awards/vezina.html#1929', 'name': None}]",43,2800,0,0,0,0,0,0,MTL,0,0,0,0,33,NHL,0,0,0,0,22,7
0,9.0,0,0,1929-30,[],108,2680,9,0,0,0,0,0,MTL,4,0,0,2.42,34,NHL,0,0,42,0,20,13
0,9.3,0,0,1930-31,[],89,2740,8,0,0,0,0,0,MTL,8,0,0,1.95,35,NHL,0,0,0,0,26,10
0,9.0,0,0,1931-32,[],110,2998,7,2,0,0,0,0,MTL,6,0,0,2.20,36,NHL,0,0,0,0,0,16
0,7.3,0,0,1932-33,[],115,2980,5,0,0,0,0,0,MTL,8,0,0,2.32,37,NHL,0,0,0,0,18,0
0,7.6,0,0,1933-34,[],119,3010,9,0,0,0,0,0,TOR,3,0,0,2.37,38,NHL,0,0,0,0,0,13
0,9.0,0,0,1934-35,[],111,2957,4,0,0,0,0,0,TOR,8,0,0,2.25,39,NHL,0,0,0,0,0,14
0,7.7,0,0,1935-36,[],106,3000,6,0,0,0,0,0,TOR,8,0,0,2.12,40,NHL,0,0,0,0,23,19
0,0.9,0,0,1936-37,[],21,460,2,0,0,0,0,0,TOT,0,0,0,2.74,41,NHL,0,0,7,0,2,3
0,0.3,0,0,1936-37,[],9,190,1,0,0,0,0,0,TOR,0,0,0,2.84,41,NHL,0,0,3,0,0,2
0,0.6,0,0,1936-37,[],12,270,1,0,0,0,0,0,MTL,0,0,0,2.67,41,NHL,0,0,4,0,2,1
