assists,year,games_played,points,goals,team,age,pim,plus_minus,league
6,1996-97,45,8,2,St. Michael\'s Buzzers,16,93,0,ON-Jr.A
11,1997-98,59,11,0,North Bay Centennials,17,200,0,OHL
17,1998-99,59,19,2,North Bay Centennials,18,150,-1,OHL
6,1999-00,67,10,4,North Bay Centennials,19,194,-15,OHL
4,2000-01,72,4,0,Kentucky Thoroughblades,20,230,8,AHL
3,2001-02,70,4,1,Cleveland Barons,21,206,-12,AHL
3,2002-03,42,4,1,Cleveland Barons,22,82,-8,AHL
3,2004-05,24,5,2,Cardiff Devils,24,114,0,Britain
13,2009-10,70,17,4,Lowell Devils,29,182,13,AHL
14,2010-11,63,18,4,Albany Devils,30,151,-1,AHL
2,2011-12,19,3,1,HC Ocelari Trinec,31,12,0,CzRep
4,2011-12,14,4,0,EC Red Bull Salzburg,31,35,0,Austria
6,2012-13,53,9,3,EC Red Bull Salzburg,32,54,0,Austria
