power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,0,3,0,NHL,1956-57,23,2,MTL,,1,4,0,0,0,,SC,0,0
0,10,5,0,NHL,1957-58,24,4,MTL,,1,4,0,0,0,,SC,0,0
0,10,4,0,NHL,1958-59,25,0,MTL,,4,0,0,0,0,,SC,0,0
0,8,3,0,NHL,1959-60,26,2,MTL,,1,4,0,0,17,,SC,11.8,0
0,6,6,0,NHL,1960-61,27,3,MTL,,3,0,4,0,9,,,33.3,0
0,6,5,0,NHL,1961-62,28,1,MTL,,4,2,4,0,10,,,10.0,0
0,2,0,0,NHL,1962-63,29,0,MTL,,0,0,0,0,0,,,0,0
0,4,1,0,NHL,1966-67,33,1,NYR,,0,0,-3,0,4,,,25.0,0
0,6,1,0,NHL,1967-68,34,0,NYR,,1,4,-3,0,16,,,0.0,0
0,3,0,0,NHL,1968-69,35,0,NYR,,0,0,-1,0,0,,,0,0
1,0,14,2,NHL,1969-70,36,3,STL,,11,6,5,0,33,,,9.1,2
1,13,4,0,NHL,1971-72,38,1,NYR,,3,2,0,0,11,,,9.1,0
