won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,6,NYI,333,24,4,0,0,23,0,0,0,0,1,0,0,0,0,0,1974-75,0,4.14,6,0
,0,NHL,8,NYI,437,25,3,0,0,21,0,0,0,0,4,0,0,0,0,0,1975-76,0,2.88,11,0
,0,NHL,10,NYI,580,26,3,0,0,27,0,0,0,0,7,0,0,0,0,0,1976-77,0,2.79,8,0
,0,NHL,1,NYI,47,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1977-78,0,1.28,9,0
,0,NHL,5,NYI,315,28,1,0,0,10,0,0,0,0,4,0,0,0,0,0,1978-79,0,0,4,0
SC,0,NHL,0,NYI,0,29,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1979-80,0,2.80,11,0
SC,0,NHL,0,NYI,0,30,3,0,1,42,0,0,0,0,0,1,0,0,0,0,1980-81,0,0,2,0
SC,0,NHL,0,NYI,0,31,3,0,0,47,0,0,0,0,0,0,0,0,0,0,1981-82,0,2.52,6,0
SC,0,NHL,0,NYI,962,32,3,0,1,43,0,0,0,0,0,1,0,0,0,0,1982-83,0,2.68,9,0
,0,NHL,0,NYI,0,33,0,93,0,0,0,4.22,0,0,0,0,0,0,0,.905,1983-84,0,2.72,17,0
,0,NHL,6,NYI,342,34,3,88,0,19,0,2.50,0,0,3,0,0,0,0,.896,1984-85,182,3.33,6,163
,0,NHL,1,NYI,60,35,1,0,0,4,0,0,0,0,0,0,0,0,0,.882,1985-86,34,4.00,0,30
,0,NHL,2,NYI,67,36,0,0,0,1,0,0,0,0,0,0,0,0,0,.955,1986-87,22,0.90,0,21
