bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,5.04,0,64,NHL,0,18,0,54,0,0,0,0,10,.844,1995-96,BUF,2,0.0,0,0,0,3,119
0,0,[],0,2.14,0,120,NHL,0,21,0,110,0,0,0,0,10,.917,1998-99,BUF,2,0.8,0,1,1,6,281
0,5,"[{'link': '/awards/voting-2000.html#calder', 'name': 'Calder-10'}]",0,2.42,4.46,988,NHL,0,22,0,898,6,0,0,95,90,.909,1999-00,BUF,18,6.5,0,2,19,41,2229
0,2,[],0,2.55,2.31,427,NHL,0,23,0,388,0,0,0,94,39,.909,2000-01,BUF,7,2.9,0,1,7,18,918
0,4,[],1,2.22,13.30,1781,NHL,0,24,0,1630,8,0,0,92,151,.915,2001-02,BUF,28,12.5,1,10,31,72,4085
0,4,[],1,2.56,-1.17,1468,NHL,0,25,0,1333,12,0,0,101,135,.908,2002-03,BUF,28,8.8,1,6,17,54,3170
0,2,[],2,2.52,3.42,1442,NHL,0,26,0,1317,10,0,0,97,125,.913,2003-04,BUF,18,9.2,2,5,26,52,2972
0,1,[],1,2.89,3.76,980,NHL,0,28,0,887,10,0,0,96,93,.905,2005-06,BUF,8,6.3,1,3,21,35,1934
0,0,[],0,3.03,-2.26,1042,NHL,0,29,0,941,25,0,0,102,101,.903,2006-07,TOT,12,6.1,0,3,18,35,2001
0,0,[],0,3.04,-3.49,533,NHL,0,29,0,479,25,0,0,107,54,.899,2006-07,BUF,4,2.9,0,1,12,19,1066
0,0,[],0,3.02,1.23,509,NHL,0,29,0,462,0,0,0,97,47,.908,2006-07,PHI,8,3.2,0,2,6,16,935
8,5,[],1,2.59,16.42,1865,NHL,33,30,.559,1712,8,0,59,90,153,.918,2007-08,PHI,20,13.4,1,9,30,62,3539
7,2,[],4,2.76,11.21,1718,NHL,29,31,.547,1572,0,0,53,93,146,.915,2008-09,PHI,19,11.5,4,5,29,55,3177
3,1,[],1,3.27,-12.78,859,NHL,9,32,.346,770,2,0,26,117,89,.896,2009-10,NYI,14,3.7,1,4,9,29,1634
1,0,[],0,2.13,4.11,426,NHL,10,33,.667,393,0,0,15,89,33,.923,2010-11,NYR,6,3.0,0,0,8,17,928
4,2,[],3,2.46,-5.13,519,NHL,7,34,.350,469,0,0,20,111,50,.904,2011-12,NYR,6,2.5,3,2,12,21,1220
1,0,[],0,2.32,0,156,NHL,2,35,.400,143,0,0,5,0,13,.917,2012-13,NYR,2,1.0,0,1,2,6,336
1,0,[],0,7.61,0,38,NHL,0,36,.000,29,0,0,1,0,9,.763,2013-14,NYR,1,-0.5,0,0,0,2,71
