year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1993-94,18,1,5,0,0,Sweden-2,2,Grums IK,1
1994-95,19,4,68,10,0,QMJHL,20,Laval Titan,14
1994-95,19,0,2,1,0,AHL,3,Cornwall Aces,1
1995-96,20,1,19,0,0,AHL,5,Cornwall Aces,1
1996-97,21,0,6,1,0,AHL,10,Providence Bruins,1
2001-02,26,0,6,1,0,Swiss,4,HC Fribourg-Gotteron,1
2002-03,27,0,4,0,0,Germany,7,Adler Mannheim,0
2003-04,28,0,2,1,-5,AHL,4,Grand Rapids Griffins,1
2004-05,29,2,24,1,0,Norway,11,Valerengen IF Oslo,3
2007-08,32,1,28,5,0,Norway,13,Valerengen IF Oslo,6
2008-09,33,1,29,0,0,Norway,6,Stavanger Oilers,1
2009-10,34,0,10,0,0,Norway,6,Stjernen Hockey,0
2010-11,35,1,8,0,0,Norway,5,Frisk-Asker IF,1
