assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,1999-00,24,2,1,Michigan Tech Huskies,19,30,0,WCHA
6,2000-01,35,15,9,Michigan Tech Huskies,20,46,0,WCHA
8,2001-02,36,15,7,Michigan Tech Huskies,21,48,0,WCHA
11,2002-03,35,16,5,Michigan Tech Huskies,22,60,0,WCHA
26,2003-04,68,46,20,Gwinnett Gladiators,23,46,0,ECHL
36,2004-05,66,56,20,Gwinnett Gladiators,24,101,0,ECHL
10,2005-06,13,22,12,Gwinnett Gladiators,25,19,0,ECHL
20,2005-06,57,40,20,Milwaukee Admirals,25,52,8,AHL
5,2006-07,63,23,18,3 Teams,26,87,-5,AHL
1,2006-07,22,5,4,Norfolk Admirals,26,61,-2,AHL
1,2006-07,12,2,1,Portland Pirates,26,2,-3,AHL
3,2006-07,29,16,13,Milwaukee Admirals,26,24,0,AHL
26,2007-08,80,49,23,San Antonio Rampage,27,109,6,AHL
27,2008-09,76,45,18,Lake Erie Monsters,28,131,-5,AHL
8,2009-10,17,18,10,Lake Erie Monsters,29,20,-1,AHL
17,2010-11,73,36,19,Norfolk Admirals,30,120,13,AHL
7,2011-12,53,12,5,Charlotte Checkers,31,58,0,AHL
10,2012-13,22,22,12,SV Renon,32,40,0,Italy
