pim,team,assists,plus_minus,points,league,games_played,year,age,goals
14,Guelph Storm,5,0,5,OHL,5,1992-93,18,0
32,Guelph Storm,9,0,16,OHL,9,1993-94,19,7
4,Adirondack Red Wings,0,0,0,AHL,3,1995-96,21,0
4,Adirondack Red Wings,2,0,2,AHL,4,1996-97,22,0
31,Detroit Vipers,5,0,12,IHL,21,1997-98,23,7
12,Indianapolis Ice,2,0,5,IHL,7,1998-99,24,3
6,Albany River Rats,0,0,0,AHL,5,1999-00,25,0
28,Houston Aeros,3,-2,6,AHL,23,2002-03,28,3
16,HC Ambri-Piotta,2,0,2,Swiss,7,2003-04,29,0
20,Adirondack Frostbite,3,0,5,UHL,6,2004-05,30,2
11,Adirondack Frostbite,2,-2,7,UHL,6,2005-06,31,5
