pim,team,assists,plus_minus,points,league,games_played,year,age,goals
14,Oklahoma City Blazers,1,0,1,CHL,9,1973-74,21,0
42,Oklahoma City Blazers,2,0,2,CHL,5,1974-75,22,0
31,Tulsa Oilers,0,0,2,CHL,7,1977-78,25,2
