assists,team,goals,year,games_played,points,pim,age,plus_minus,league
5,Newmarket 87\'s,3,1989-90,30,8,16,15,0,ON-Jr.B
16,2 Teams,6,1990-91,43,22,39,16,0,ON-Jr.B
13,Newmarket 87\'s,2,1990-91,35,15,37,16,0,ON-Jr.B
3,Markham Thunderbirds,4,1990-91,8,7,2,16,0,ON-Jr.B
46,Thornhill Thunderbirds,15,1991-92,44,61,43,17,0,ON-Jr.A
12,University of Michigan,1,1992-93,39,13,12,18,0,CCHA
13,University of Michigan,2,1993-94,41,15,32,19,0,CCHA
14,University of Michigan,2,1994-95,39,16,20,20,0,CCHA
16,University of Michigan,4,1995-96,43,20,32,21,0,CCHA
5,Springfield Falcons,1,1996-97,70,6,37,22,0,AHL
19,Beast of New Haven,1,1997-98,65,20,44,23,-19,AHL
7,Beast of New Haven,2,1998-99,42,9,58,24,-12,AHL
5,Worcester IceCats,3,2001-02,43,8,15,27,0,AHL
22,Lowell Lock Monsters,4,2002-03,71,26,34,28,0,AHL
