shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
19.6,1974-75,45,0,,0,271,0,33,38,47,WNJ,53,23,0,WHA,0,,65,100,"[{'link': '/awards/wha_all_star.html#1975', 'name': 'ASW-2'}, {'link': '/awards/kaplan.html#1975', 'name': None}]",20
18.5,1975-76,48,0,,0,271,0,35,60,55,WNJ,50,24,10,WHA,6,,76,105,"[{'link': '/awards/wha_all_star.html#1976', 'name': None}]",9
22.4,1976-77,48,0,,0,313,0,48,48,61,WNJ,0,25,10,WHA,0,,68,131,"[{'link': '/awards/wha_all_star.html#1977', 'name': None}]",22
21.7,1977-78,60,0,,0,290,0,40,60,59,WNJ,63,26,0,WHA,6,,77,122,"[{'link': '/awards/wha_all_star.html#1978', 'name': None}]",17
15.4,1978-79,33,29,,2,214,14,27,19,45,NYR,33,27,5,NHL,0,,0,78,"[{'link': '/awards/voting-1979.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1979.html#byng', 'name': 'Byng-11'}]",6
13.3,1979-80,21,24,,2,241,13,25,13,39,NYR,32,28,4,NHL,0,,80,71,[],7
12.3,1980-81,52,25,,0,243,15,22,0,40,NYR,30,29,3,NHL,1,,80,70,[],7
0.0,1981-82,0,0,,0,8,1,0,-2,1,NYR,0,30,0,NHL,0,,4,1,[],0
15.3,1982-83,12,27,,0,163,7,21,17,34,NYR,25,31,5,NHL,0,,78,59,[],4
15.3,1983-84,16,24,,0,209,11,26,18,35,NYR,32,32,2,NHL,0,,79,67,"[{'link': '/awards/voting-1984.html#byng', 'name': 'Byng-16'}]",6
14.2,1984-85,10,18,,0,141,13,11,-15,31,NYR,20,33,2,NHL,0,,64,51,"[{'link': '/awards/voting-1985.html#byng', 'name': 'Byng-13'}, {'link': '/awards/masterton.html#1985', 'name': None}]",9
