assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Svedjeholmens IK,24,1966-67,16,24,0,15,0,Sweden-3
6,MoDo AIK Ornskoldsvik,12,1967-68,24,18,0,16,0,Sweden
1,Sweden,6,1967-68,5,7,0,16,0,EJC-A
13,MoDo AIK Ornskoldsvik,10,1968-69,19,23,2,17,0,Sweden
0,Sweden,5,1968-69,5,5,2,17,0,EJC-A
14,MoDo AIK Ornskoldsvik,9,1969-70,14,23,2,18,0,Sweden
0,Sweden,6,1969-70,5,0,0,18,0,EJC-A
3,Sweden,2,1969-70,9,5,0,18,0,WEC-A
6,MoDo AIK Ornskoldsvik,7,1970-71,14,13,0,19,0,Sweden
0,MoDo AIK Ornskoldsvik,1,1971-72,2,1,0,20,0,Sweden
5,Sweden,6,1971-72,10,11,4,20,0,WEC-A
3,Djurgardens IF Stockholm,6,1972-73,12,9,2,21,0,Sweden
5,Sweden,2,1972-73,10,7,0,21,0,WEC-A
6,Djurgardens IF Stockholm,10,1973-74,14,16,2,22,0,Sweden
3,Sweden,7,1973-74,10,10,2,22,0,WEC-A
2,Sweden,3,1976-77,5,5,4,25,0,Can-Cup
0,NHL All-Stars,0,1978-79,2,0,0,27,0,Ch-Cup
2,Sweden,4,1981-82,5,6,0,30,0,Can-Cup
2,New York Rangers,1,1981-82,4,3,0,30,0,DN-Cup
