power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,3,4,0,NHL,1985-86,20,0,BOS,,4,12,2,0,3,,,0.0,0
0,2,1,0,NHL,1986-87,21,1,BOS,,0,2,-2,0,2,,,50.0,1
0,0,12,0,NHL,1987-88,22,2,BOS,,10,16,9,0,33,,,6.1,2
1,10,7,0,NHL,1988-89,23,5,BOS,,2,6,6,1,22,,,22.7,3
0,21,15,0,NHL,1989-90,24,4,BOS,,11,14,2,1,39,,,10.3,3
0,19,3,0,NHL,1990-91,25,0,BOS,,3,39,-5,0,20,,,0.0,0
0,2,1,0,NHL,1991-92,26,0,WSH,,1,0,2,0,6,,,0.0,0
0,4,1,0,NHL,1992-93,27,1,WSH,,0,0,-3,0,2,,,50.0,1
0,11,2,0,NHL,1993-94,28,0,WSH,,2,12,-3,0,11,,,0.0,0
3,12,6,0,NHL,1996-97,31,5,BUF,,1,2,-5,0,26,,,19.2,2
