average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,18,0,2,-2,5,0,0,0,0,1974-75,ATF,0,0,[],0.0,,5
,2,0,0,NHL,19,2,2,2,8,0,0,0,0,1975-76,ATF,0,2,[],0.0,,4
,50,0,0,NHL,20,21,8,-12,167,14,3,0,12,1976-77,ATF,17,33,[],10.2,,0
,58,1,0,NHL,21,18,8,8,146,17,11,0,12,1977-78,ATF,28,30,[],19.2,,73
,107,5,0,NHL,22,43,14,23,229,39,11,0,14,1978-79,ATF,50,57,"[{'link': '/awards/voting-1979.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1979.html#AS', 'name': 'AS-13'}, {'link': '/awards/voting-1979.html#byng', 'name': 'Byng-4'}]",21.8,,0
,77,1,0,NHL,23,30,22,5,208,22,9,0,16,1979-80,ATF,31,46,[],14.9,,76
,83,1,0,NHL,24,30,24,18,141,21,10,0,22,1980-81,CGY,31,52,[],22.0,,52
,80,4,0,NHL,25,35,12,-5,182,10,13,0,22,1981-82,CGY,23,57,[],12.6,,64
,72,2,0,NHL,26,26,18,-24,158,6,7,0,33,1982-83,CGY,13,59,[],8.2,,0
,46,2,0,NHL,27,18,10,-15,117,8,4,0,16,1983-84,STL,12,34,[],10.3,,64
