pim,team,assists,plus_minus,points,league,games_played,year,age,goals
8,TPS Turku Jr.,2,0,4,Fin-Jr.,6,1992-93,17,2
12,TPS Turku Jr.,4,0,5,Fin-Jr.,5,1993-94,18,1
4,TPS Turku,1,0,2,Finland,10,1993-94,18,1
2,TPS Turku,1,0,1,Finland,5,1994-95,19,0
14,TPS Turku,5,0,8,Finland,11,1995-96,20,3
31,TPS Turku,6,0,11,Finland,11,1996-97,21,5
0,TPS Turku,1,0,2,EuroHL,2,1996-97,21,1
2,Cincinnati Mighty Ducks,1,0,3,AHL,3,2000-01,25,2
12,Jokerit Helsinki,8,0,9,Finland,12,2001-02,26,1
26,Jokerit Helsinki,1,0,3,Finland,10,2002-03,27,2
10,TPS Turku,9,0,11,Finland,13,2003-04,28,2
