year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1976-77,16,15,121,21,0,SJHL,60,Regina Blues,36
1976-77,16,0,0,0,0,WCJHL,1,Regina Pats,0
1977-78,17,13,135,32,0,WCJHL,71,Regina Pats,45
1978-79,18,11,80,36,0,WHL,51,Regina Pats,47
1979-80,19,29,118,93,0,WHL,71,Regina Pats,122
1980-81,20,6,12,22,0,AHL,26,Hershey Bears,28
1981-82,21,5,16,10,0,AHL,10,Hershey Bears,15
1982-83,22,0,2,1,0,AHL,5,Hershey Bears,1
1983-84,23,1,4,6,0,AHL,11,Hershey Bears,7
1988-89,28,5,29,19,0,AHL,33,Newmarket Saints,24
1989-90,29,13,30,54,0,AHL,78,Newmarket Saints,67
1990-91,30,7,26,28,0,AHL,56,Newmarket Saints,35
1990-91,30,2,10,14,0,IHL,18,Peoria Rivermen,16
1991-92,31,6,47,23,0,AHL,61,Moncton Hawks,29
1991-92,31,2,4,4,0,Germany,14,EV Landshut,6
1992-93,32,12,16,37,0,IHL,79,Peoria Rivermen,49
1993-94,33,21,16,54,0,IHL,76,Peoria Rivermen,75
1994-95,34,8,42,42,0,IHL,75,Peoria Rivermen,50
1995-96,35,2,20,24,0,IHL,58,2 Teams,26
1995-96,35,1,8,9,0,IHL,15,Peoria Rivermen,10
1995-96,35,1,12,15,0,IHL,43,Phoenix Roadrunners,16
1997-98,37,6,40,31,0,WCHL,59,Phoenix Mustangs,37
1998-99,38,3,46,29,-9,WCHL,52,Phoenix Mustangs,32
