game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
4,0,5,126,0,0,77,14,0,1995-96,13,0,13,0,20,NHL,10.3,1,0,0,0,18,0,,[],27,0,13,,FLA
1,0,-2,139,0,0,78,21,0,1996-97,16,0,18,2,30,NHL,12.9,5,0,0,0,19,0,,[],39,0,16,,FLA
0,0,-1,112,0,2,64,24,0,1997-98,20,3,12,2,33,NHL,10.7,2,0,0,0,20,0,,[],36,0,7,,FLA
0,0,7,182,0,0,82,24,0,1998-99,21,4,19,0,29,NHL,10.4,3,0,0,0,21,0,16:13,[],43,0,15,1330,FLA
1,0,5,157,0,3,81,32,0,1999-00,20,1,18,2,16,NHL,11.5,9,0,0,0,22,0,17:07,[],50,0,15,1386,TOT
1,0,5,67,0,1,35,10,0,1999-00,8,0,7,0,6,NHL,10.4,1,0,0,0,22,0,15:25,[],17,0,7,540,FLA
0,0,0,90,0,2,46,22,0,1999-00,12,1,11,2,10,NHL,12.2,8,0,0,0,22,0,18:24,[],33,0,8,847,NYR
3,0,9,230,0,2,82,36,0,2000-01,26,2,31,5,20,NHL,13.5,8,0,0,0,23,0,19:04,"[{'link': '/awards/voting-2001.html#byng', 'name': 'Byng-18'}]",67,0,24,1564,NYR
1,0,-20,210,0,0,65,20,0,2001-02,11,3,17,3,14,NHL,8.1,9,0,0,0,24,0,19:44,[],37,0,11,1283,NYR
0,0,-6,166,0,2,75,25,0,2002-03,17,0,10,3,30,NHL,6.0,6,0,0,0,25,0,15:46,[],35,0,7,1183,TOT
0,0,-3,134,0,2,63,21,0,2002-03,16,0,6,2,16,NHL,4.5,3,0,0,0,25,0,15:42,[],27,0,4,989,NYR
0,0,-3,32,0,0,12,4,0,2002-03,1,0,4,1,14,NHL,12.5,3,0,0,0,25,0,16:07,[],8,0,3,193,EDM
0,0,18,188,0,0,78,35,0,2003-04,33,0,15,6,26,NHL,8.0,2,0,0,0,26,0,16:56,"[{'link': '/awards/voting-2004.html#byng', 'name': 'Byng-49'}]",50,0,9,1320,EDM
2,0,-2,131,0,1,64,20,0,2005-06,19,0,8,2,26,NHL,6.1,0,0,0,0,28,0,16:34,[],28,0,6,1060,EDM
1,0,-6,139,0,0,82,27,0,2006-07,19,1,10,1,48,NHL,7.2,8,0,0,0,29,0,15:38,[],37,0,8,1282,STL
1,36,-1,146,10,1,67,9,2,2007-08,8,1,8,0,16,NHL,5.5,0,50,16.7,36,30,215,15:07,[],17,15,7,1013,FLA
3,32,0,136,11,0,81,21,6,2008-09,21,4,15,0,42,NHL,11.0,0,55,35.3,31,31,226,16:26,[],36,37,11,1331,FLA
1,36,-7,140,14,0,76,18,3,2009-10,16,3,14,1,20,NHL,10.0,2,50,17.6,52,32,228,17:26,[],32,35,10,1325,FLA
3,35,2,109,12,0,66,15,7,2010-11,15,1,7,0,24,NHL,6.4,0,51,36.8,33,33,167,16:05,[],22,25,6,1061,TOT
3,23,2,89,8,0,53,14,2,2010-11,14,1,7,0,20,NHL,7.9,0,46,20.0,28,33,135,16:33,[],21,22,6,877,FLA
0,12,0,20,4,0,13,1,5,2010-11,1,0,0,0,4,NHL,0.0,0,5,55.6,5,33,32,14:08,[],1,3,0,184,ATL
0,42,-16,83,15,0,73,17,10,2011-12,17,1,4,0,12,NHL,4.8,0,51,40.0,56,34,163,14:17,[],21,22,3,1042,DAL
1,4,2,17,2,0,9,0,0,2012-13,0,0,4,0,2,NHL,23.5,0,2,0.0,1,35,23,13:08,[],4,4,4,118,ANA
2,26,3,52,6,0,60,5,6,2013-14,5,0,4,0,41,NHL,7.7,0,17,50.0,25,36,92,10:38,[],9,21,4,638,CAR
