assists,year,games_played,points,goals,team,age,pim,plus_minus,league
46,1992-93,35,90,44,Motor Ceske Budejovice Jr.,15,0,0,Czech-Jr.
18,1993-94,20,35,17,HC Ceske Budejovice Jr.,16,0,0,CzRep-Jr.
0,1993-94,8,0,0,HC Ceske Budejovice,16,0,0,CzRep
3,1993-94,5,5,2,Czech Republic,16,6,0,EJC-A
5,1994-95,10,8,3,HC Ceske Budejovice,17,2,0,CzRep
3,1994-95,5,7,4,Czech Republic,17,6,0,EJC-A
4,1998-99,12,8,4,Czech Republic,21,6,0,WC-A
4,2000-01,9,8,4,Czech Republic,23,8,8,WC-A
0,2001-02,4,0,0,Czech Republic,24,0,-3,Olympics
7,2003-04,7,7,0,Czech Republic,26,16,5,WC-A
0,2004-05,4,1,1,Czech Republic,27,0,0,W-Cup
35,2004-05,32,58,23,HC Ceske Budejovice,27,18,0,CzRep-2
1,2004-05,9,2,1,Czech Republic,27,4,2,WC-A
4,2012-13,7,7,3,HC Davos,35,2,0,Swiss
