pim,team,assists,plus_minus,points,league,games_played,year,age,goals
58,Sherwood Park Crusaders,21,0,31,AMHL,22,1995-96,16,10
11,Prince George Cougars,2,0,2,WHL,12,1996-97,17,0
90,Prince George Cougars,26,0,37,WHL,65,1997-98,18,11
178,Prince George Cougars,25,8,47,WHL,56,1998-99,19,22
2,Canada,0,0,0,WJC-A,5,1998-99,19,0
183,Prince George Cougars,33,17,63,WHL,57,1999-00,20,30
20,Canada,2,2,3,WJC-A,7,1999-00,20,1
39,Utah Grizzlies,6,-5,8,IHL,24,2000-01,21,2
58,2 Teams,6,-5,11,AHL,41,2001-02,22,5
33,Springfield Falcons,2,-2,3,AHL,21,2001-02,22,1
25,Manitoba Moose,4,-3,8,AHL,20,2001-02,22,4
103,Manitoba Moose,28,8,38,AHL,76,2002-03,23,10
100,Manitoba Moose,14,-3,25,AHL,49,2003-04,24,11
100,TPS Turku,7,0,10,Finland,40,2004-05,25,3
8,Manitoba Moose,1,0,1,AHL,8,2005-06,26,0
36,Manitoba Moose,3,-7,4,AHL,24,2006-07,27,1
86,Portland Pirates,18,-2,29,AHL,79,2007-08,28,11
80,Portland Pirates,16,-12,23,AHL,63,2008-09,29,7
80,ERC Ingolstadt,21,0,39,Germany,56,2009-10,30,18
33,ERC Ingolstadt,5,0,8,Germany,19,2010-11,31,3
64,ERC Ingolstadt,13,0,24,Germany,43,2011-12,32,11
26,ERC Ingolstadt,5,0,10,Germany,18,2012-13,33,5
