average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,62,0,0,NHL,20,0,18,0,0,0,0,0,0,1943-44,TOR,22,40,"[{'link': '/awards/calder.html#1944', 'name': None}]",0,,50
,44,0,0,NHL,21,0,18,0,0,0,0,0,0,1944-45,TOR,8,36,[],0,,49
,37,0,0,NHL,22,0,14,0,0,0,0,0,0,1945-46,TOR,14,23,[],0,,49
,10,0,0,NHL,23,0,10,0,0,0,0,0,0,1946-47,TOR,4,6,[],0,,39
,35,0,0,NHL,24,0,23,0,0,0,0,0,0,1947-48,CBH,13,22,[],0,,46
,45,0,0,NHL,25,0,14,0,0,0,0,0,0,1948-49,CBH,19,26,[],0,,59
,39,0,0,NHL,26,0,6,0,0,0,0,0,0,1949-50,CBH,11,28,[],0,,70
,20,0,0,NHL,27,0,8,0,0,0,0,0,0,1950-51,CBH,8,12,[],0,,44
,40,0,0,NHL,28,0,26,0,0,0,0,0,0,1951-52,CBH,14,26,[],0,,69
,29,0,0,NHL,29,0,26,0,0,0,0,0,0,1952-53,CBH,16,13,[],0,,66
,27,0,0,NHL,30,0,30,0,0,0,0,0,0,1953-54,TOT,9,18,[],0,,59
,21,0,0,NHL,30,0,20,0,0,0,0,0,0,1953-54,CBH,6,15,[],0,,45
,6,0,0,NHL,30,0,10,0,0,0,0,0,0,1953-54,BOS,3,3,[],0,,14
,8,0,0,NHL,31,0,14,0,0,0,0,0,0,1954-55,BOS,4,4,[],0,,67
