game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,0,0,2,0,1989-90,0,0,0,0,,NHL,0,0,20,42,[],0,0,,TOR
0,-5,5,0,28,0,1990-91,0,0,1,0,,NHL,20.0,0,21,185,[],1,1,,NYR
1,-4,20,0,42,4,1991-92,4,0,2,0,,NHL,10.0,0,22,246,[],6,2,,NYR
0,1,40,0,61,10,1992-93,10,0,5,0,,NHL,12.5,0,23,344,[],15,5,,TOT
0,-1,11,0,12,0,1992-93,0,0,2,0,,NHL,18.2,0,23,95,[],2,2,,NYR
0,2,29,0,49,10,1992-93,10,0,3,0,,NHL,10.3,0,23,249,[],13,3,,WIN
1,-8,98,0,81,11,1993-94,11,0,8,0,,NHL,8.2,0,24,0,[],19,8,,WIN
0,-5,46,0,40,5,1994-95,5,0,4,0,,NHL,8.7,0,25,159,[],9,4,,TOT
0,-6,34,0,31,4,1994-95,4,0,4,0,,NHL,11.8,0,25,128,[],8,4,,WIN
0,1,12,0,9,1,1994-95,1,0,0,0,,NHL,0.0,0,25,31,[],1,0,,TOR
1,-3,61,0,72,6,1995-96,6,0,7,0,,NHL,11.5,0,26,297,[],13,7,,TOR
1,-17,98,0,80,17,1996-97,16,0,11,2,,NHL,11.2,1,27,275,[],28,9,,TOR
0,-5,72,0,80,10,1997-98,10,0,4,0,,NHL,5.6,0,28,365,[],14,4,,TOR
1,5,65,0,72,14,1998-99,14,0,8,0,9:42,NHL,12.3,0,29,198,[],22,8,698,TOR
2,-5,64,0,70,9,1999-00,8,0,5,0,9:58,NHL,7.8,1,30,198,[],14,5,698,TOR
1,2,60,0,82,7,2000-01,7,0,13,1,8:23,NHL,21.7,0,31,214,[],20,12,687,TOR
2,3,93,0,74,10,2001-02,9,0,9,0,10:20,NHL,9.7,1,32,157,[],19,9,764,TOR
0,-1,91,0,79,14,2002-03,12,0,15,4,10:56,NHL,16.5,2,33,171,[],29,11,864,TOR
0,-2,84,0,80,13,2003-04,13,0,7,1,11:12,NHL,8.3,0,34,208,[],20,6,896,TOR
0,-10,67,0,77,11,2005-06,11,0,5,1,9:43,NHL,7.5,0,36,109,[],16,4,749,TOR
