shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,360,6,0,1934-35,0,3,3.67,EAHL,0,22,0,0,3,0,0,18,0,0,0,0,Hershey B\'ars
0,0,0,0,300,5,0,1935-36,0,0,3.00,EAHL,0,15,0,0,0,0,0,19,0,0,0,0,Hershey B\'ars
0,0,0,0,250,4,0,1936-37,0,3,2.16,EAHL,0,9,0,0,1,0,0,20,0,1,0,0,Hershey B\'ars
0,0,0,0,120,2,0,1938-39,0,1,4.00,IAHL,0,8,0,0,1,0,0,22,0,0,0,0,Hershey Bears
0,0,0,0,360,6,0,1939-40,0,3,2.50,IAHL,0,15,0,0,3,0,0,23,0,1,0,0,Hershey Bears
0,0,0,0,640,10,0,1940-41,0,6,1.88,AHL,0,20,0,0,4,0,0,24,0,2,0,0,Hershey Bears
0,0,0,0,620,10,0,1941-42,0,6,2.61,AHL,0,27,0,0,4,0,0,25,0,1,0,0,Hershey Bears
0,0,0,0,370,6,0,1942-43,0,2,3.73,AHL,0,23,0,0,4,0,0,26,0,1,0,0,Hershey Bears
0,0,0,0,425,7,0,1943-44,0,3,2.54,AHL,0,18,0,0,4,0,0,27,0,0,0,0,Hershey Bears
0,0,0,0,660,11,0,1944-45,0,6,2.64,AHL,0,29,0,0,5,0,0,28,0,0,0,0,Hershey Bears
0,0,0,0,360,6,0,1950-51,0,2,4.50,EAHL,0,27,0,0,4,0,0,34,0,0,0,0,Johnstown Jets
