shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,60,1,0,1932-33,0,1,1.00,OHA-Jr.,0,1,0,0,0,0,0,16,0,0,0,0,Niagara Falls Cataracts
0,0,2,0,1260,21,0,1934-35,0,10,2.67,EAHL,0,56,0,0,9,0,0,18,0,3,0,0,Hershey B\'ars
0,0,1,0,1380,23,0,1935-36,0,16,2.04,EAHL,0,47,0,0,6,0,0,19,0,5,0,0,2 Teams
0,0,1,0,1320,22,0,1935-36,0,16,1.91,EAHL,0,42,0,0,5,0,0,19,0,5,0,0,Hershey B\'ars
0,0,0,0,60,1,0,1935-36,0,0,5.00,EAHL,0,5,0,0,1,0,0,19,0,0,0,0,Baltimore Orioles
0,0,7,0,2040,34,0,1936-37,0,18,1.79,EAHL,0,61,0,0,9,0,0,20,0,1,0,0,Hershey B\'ars
0,0,11,0,3420,57,0,1937-38,0,31,2.37,EAHL,0,135,0,0,15,0,0,21,0,7,0,0,Hershey B\'ars
0,0,9,0,2700,43,0,1938-39,0,16,2.80,IAHL,0,126,0,0,18,0,0,22,0,6,0,0,Providence Reds
0,0,3,0,2580,42,0,1939-40,0,21,2.53,IAHL,0,109,0,0,18,0,0,23,0,4,0,0,Hershey Bears
0,0,9,0,3470,56,0,1940-41,0,24,3.27,AHL,0,189,0,0,23,0,0,24,0,4,0,0,Hershey Bears
0,0,6,0,3450,56,0,1941-42,0,33,2.94,AHL,0,169,0,0,17,0,0,25,0,4,0,0,Hershey Bears
0,0,7,0,3330,54,0,1942-43,0,34,2.92,AHL,0,162,0,0,13,0,0,26,0,2,0,0,Hershey Bears
0,0,8,0,3240,54,0,1943-44,0,30,2.46,AHL,0,133,0,0,16,0,0,27,0,6,0,0,Hershey Bears
0,0,7,0,3420,57,0,1944-45,0,27,3.09,AHL,0,176,0,0,23,0,0,28,0,7,0,0,Hershey Bears
0,0,5,0,2760,46,0,1945-46,0,20,3.48,AHL,0,160,0,0,21,0,0,29,0,3,0,0,Hershey Bears
0,0,7,0,3360,56,0,1946-47,0,5,6.11,AHL,0,342,0,0,44,0,0,30,0,1,0,0,Philadelphia Rockets
0,0,1,0,1368,23,0,1950-51,0,10,3.86,EAHL,0,88,0,0,11,0,0,34,0,2,0,0,Johnstown Jets
0,0,1,0,720,12,0,1951-52,0,2,4.75,EAHL,0,57,0,0,9,0,0,35,0,0,0,0,Washington Lions
