giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,6,0,22,2,7,6,1,7,0,83,CHI,3,75.0,[],16.7,1,0,1,1,6,0,2010-11,5,13:47,0,0,0,0
1,NHL,13,0,23,7,24,18,2,6,0,128,CHI,3,50.0,[],11.1,2,0,-5,2,7,0,2011-12,5,9:49,0,0,0,0
0,NHL,1,0,24,2,3,1,1,1,0,18,CHI,0,0.0,[],100.0,1,0,1,1,0,0,2012-13,0,18:21,0,0,0,0
12,NHL,75,2,25,194,157,90,26,40,1,955,CHI,22,50.8,"[{'link': '/awards/voting-2014.html#byng', 'name': 'Byng-16'}]",15.6,13,12,3,14,200,0,2013-14,58,12:44,1,2,0,11
16,NHL,80,1,26,284,161,92,14,72,0,1044,TOT,22,52.2,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-24'}]",7.6,7,7,2,7,310,0,2014-15,75,13:03,0,2,0,7
10,NHL,61,0,26,221,134,77,9,49,0,829,CHI,17,51.1,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-24'}]",6.5,5,4,-1,5,231,0,2014-15,57,13:35,0,2,0,4
6,NHL,19,1,26,63,27,15,5,23,0,215,SJS,5,55.6,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-24'}]",13.3,2,3,3,2,79,0,2014-15,18,11:20,0,0,0,3
3,NHL,22,1,27,85,34,17,6,18,0,266,TOT,8,54.1,[],11.8,2,4,2,2,100,0,2015-16,16,12:06,0,0,0,4
2,NHL,6,0,27,12,3,1,0,5,0,36,SJS,1,29.4,[],0.0,0,0,-1,0,5,0,2015-16,1,5:59,0,0,0,0
1,NHL,16,1,27,73,31,16,6,13,0,230,TOR,7,56.5,[],12.5,2,4,3,2,95,0,2015-16,15,14:23,0,0,0,4
5,NHL,40,0,28,227,56,30,4,29,0,459,TOT,9,51.5,[],6.7,2,2,-7,2,241,0,2016-17,41,11:28,0,4,0,2
1,NHL,4,0,28,19,2,1,0,1,0,43,COL,0,52.5,[],0.0,0,0,-2,0,21,0,2016-17,0,10:46,0,0,0,0
4,NHL,36,0,28,208,54,29,4,28,0,416,TOR,9,51.4,[],6.9,2,2,-5,2,220,0,2016-17,41,11:33,0,4,0,2
