game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,-5,27,0,0,38,4,0,1997-98,4,0,1,0,6,NHL,3.7,0,0,0,0,19,0,,[],5,0,1,,EDM
4,0,2,39,0,0,61,8,0,1998-99,8,1,6,0,23,NHL,15.4,0,0,0,0,20,0,10:09,[],14,0,5,619,EDM
2,0,7,108,0,0,76,19,0,1999-00,19,1,8,0,20,NHL,7.4,0,0,0,0,21,0,12:36,[],27,0,7,958,EDM
0,0,1,66,0,0,55,6,0,2000-01,6,0,5,0,14,NHL,7.6,0,0,0,0,22,0,10:08,[],11,0,5,557,DET
2,0,9,116,0,0,79,16,0,2001-02,16,0,9,0,24,NHL,7.8,0,0,0,0,23,0,11:30,[],25,0,9,909,DET
1,0,4,72,0,0,61,9,0,2002-03,9,0,3,0,16,NHL,4.2,0,0,0,0,24,0,9:26,[],12,0,3,575,DET
2,0,-1,62,0,0,61,9,0,2003-04,8,0,6,0,20,NHL,9.7,1,0,0,0,25,0,9:58,[],15,0,6,608,DET
1,0,-13,76,0,0,78,14,0,2005-06,12,0,8,1,44,NHL,10.5,2,0,0,0,27,0,12:47,[],22,0,7,997,PHX
0,0,4,57,0,0,33,11,0,2006-07,10,0,8,0,12,NHL,14.0,1,0,0,0,28,0,15:17,[],19,0,8,504,TOR
1,23,-6,81,4,0,62,11,2,2007-08,11,1,7,0,24,NHL,8.6,0,47,33.3,20,29,142,13:58,"[{'link': '/awards/voting-2008.html#selke', 'name': 'Selke-65'}]",18,28,6,866,TOR
0,8,3,41,5,0,23,5,4,2008-09,5,3,6,0,2,NHL,14.6,0,21,44.4,18,30,60,13:42,[],11,6,3,315,TOR
