points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/sullimi01c.html', 'name': 'M. Sullivan'}]",NHL,PIT,2017-18,0,0,0,Pittsburgh Penguins,0,,0,0,
111,"[{'link': '/coaches/sullimi01c.html', 'name': 'M. Sullivan'}]",NHL,PIT,2016-17,50,21,11,Pittsburgh Penguins,.677,,0,82,2nd
104,"[{'link': '/coaches/johnsmi99c.html', 'name': 'M. Johnston'}, {'link': '/coaches/sullimi01c.html', 'name': 'M. Sullivan'}]",NHL,PIT,2015-16,48,26,8,Pittsburgh Penguins,.634,,0,82,2nd
98,"[{'link': '/coaches/johnsmi99c.html', 'name': 'M. Johnston'}]",NHL,PIT,2014-15,43,27,12,Pittsburgh Penguins,.598,Lost NHL First Round,0,82,4th
109,"[{'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,PIT,2013-14,51,24,7,Pittsburgh Penguins,.665,Lost NHL Second Round,0,82,1st
72,"[{'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,PIT,2012-13,36,12,0,Pittsburgh Penguins,.750,Lost NHL Conference Finals,0,48,1st
108,"[{'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,PIT,2011-12,51,25,6,Pittsburgh Penguins,.659,Lost NHL Conference Quarter-Finals,0,82,2nd
106,"[{'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,PIT,2010-11,49,25,8,Pittsburgh Penguins,.646,Lost NHL Conference Quarter-Finals,0,82,1st
101,"[{'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,PIT,2009-10,47,28,7,Pittsburgh Penguins,.616,Lost NHL Conference Semi-Finals,0,82,2nd
99,"[{'link': '/coaches/therrmi99c.html', 'name': 'M. Therrien'}, {'link': '/coaches/bylsmda01c.html', 'name': 'D. Bylsma'}]",NHL,PIT,2008-09,45,28,9,Pittsburgh Penguins,.604,,0,82,2nd
102,"[{'link': '/coaches/therrmi99c.html', 'name': 'M. Therrien'}]",NHL,PIT,2007-08,47,27,8,Pittsburgh Penguins,.622,Lost Stanley Cup Final,0,82,1st
105,"[{'link': '/coaches/therrmi99c.html', 'name': 'M. Therrien'}]",NHL,PIT,2006-07,47,24,11,Pittsburgh Penguins,.640,Lost NHL Conference Quarter-Finals,0,82,2nd
58,"[{'link': '/coaches/olczyed01c.html', 'name': 'E. Olczyk'}, {'link': '/coaches/therrmi99c.html', 'name': 'M. Therrien'}]",NHL,PIT,2005-06,22,46,14,Pittsburgh Penguins,.354,,0,82,5th
58,"[{'link': '/coaches/olczyed01c.html', 'name': 'E. Olczyk'}]",NHL,PIT,2003-04,23,47,4,Pittsburgh Penguins,.354,,8,82,5th
65,"[{'link': '/coaches/kehoeri01c.html', 'name': 'R. Kehoe'}]",NHL,PIT,2002-03,27,44,5,Pittsburgh Penguins,.396,,6,82,5th
69,"[{'link': '/coaches/hlinkiv01c.html', 'name': 'I. Hlinka'}, {'link': '/coaches/kehoeri01c.html', 'name': 'R. Kehoe'}]",NHL,PIT,2001-02,28,41,5,Pittsburgh Penguins,.421,,8,82,5th
96,"[{'link': '/coaches/hlinkiv01c.html', 'name': 'I. Hlinka'}]",NHL,PIT,2000-01,42,28,3,Pittsburgh Penguins,.585,Lost NHL Conference Finals,9,82,3rd
88,"[{'link': '/coaches/constke99c.html', 'name': 'K. Constantine'}, {'link': '/coaches/brookhe99c.html', 'name': 'H. Brooks'}]",NHL,PIT,1999-00,37,31,6,Pittsburgh Penguins,.537,Lost NHL Conference Semi-Finals,8,82,3rd
90,"[{'link': '/coaches/constke99c.html', 'name': 'K. Constantine'}]",NHL,PIT,1998-99,38,30,0,Pittsburgh Penguins,.549,Lost NHL Conference Semi-Finals,14,82,3rd
98,"[{'link': '/coaches/constke99c.html', 'name': 'K. Constantine'}]",NHL,PIT,1997-98,40,24,0,Pittsburgh Penguins,.598,Lost NHL Conference Quarter-Finals,18,82,1st
84,"[{'link': '/coaches/johnsed01c.html', 'name': 'E. Johnston'}, {'link': '/coaches/patricr01c.html', 'name': 'C. Patrick'}]",NHL,PIT,1996-97,38,36,0,Pittsburgh Penguins,.512,Lost NHL Conference Quarter-Finals,8,82,2nd
102,"[{'link': '/coaches/johnsed01c.html', 'name': 'E. Johnston'}]",NHL,PIT,1995-96,49,29,0,Pittsburgh Penguins,.622,Lost NHL Conference Finals,4,82,1st
61,"[{'link': '/coaches/johnsed01c.html', 'name': 'E. Johnston'}]",NHL,PIT,1994-95,29,16,0,Pittsburgh Penguins,.635,Lost NHL Conference Semi-Finals,3,48,2nd
101,"[{'link': '/coaches/johnsed01c.html', 'name': 'E. Johnston'}]",NHL,PIT,1993-94,44,27,0,Pittsburgh Penguins,.601,Lost NHL Conference Quarter-Finals,13,84,1st
119,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,PIT,1992-93,56,21,0,Pittsburgh Penguins,.708,Lost NHL Division Finals,7,84,1st
87,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,PIT,1991-92,39,32,0,Pittsburgh Penguins,.544,,9,80,3rd
88,"[{'link': '/coaches/johnsbo99c.html', 'name': 'B. Johnson'}]",NHL,PIT,1990-91,41,33,0,Pittsburgh Penguins,.550,,6,80,1st
72,"[{'link': '/coaches/ubriage01c.html', 'name': 'G. Ubriaco'}, {'link': '/coaches/patricr01c.html', 'name': 'C. Patrick'}]",NHL,PIT,1989-90,32,40,0,Pittsburgh Penguins,.450,,8,80,5th
87,"[{'link': '/coaches/ubriage01c.html', 'name': 'G. Ubriaco'}]",NHL,PIT,1988-89,40,33,0,Pittsburgh Penguins,.544,Lost NHL Division Finals,7,80,2nd
81,"[{'link': '/coaches/creampi99c.html', 'name': 'P. Creamer'}]",NHL,PIT,1987-88,36,35,0,Pittsburgh Penguins,.506,,9,80,6th
72,"[{'link': '/coaches/berrybo01c.html', 'name': 'B. Berry'}]",NHL,PIT,1986-87,30,38,0,Pittsburgh Penguins,.450,,12,80,5th
76,"[{'link': '/coaches/berrybo01c.html', 'name': 'B. Berry'}]",NHL,PIT,1985-86,34,38,0,Pittsburgh Penguins,.475,,8,80,5th
53,"[{'link': '/coaches/berrybo01c.html', 'name': 'B. Berry'}]",NHL,PIT,1984-85,24,51,0,Pittsburgh Penguins,.331,,5,80,6th
38,"[{'link': '/coaches/angotlo01c.html', 'name': 'L. Angotti'}]",NHL,PIT,1983-84,16,58,0,Pittsburgh Penguins,.238,,6,80,6th
45,"[{'link': '/coaches/johnsed01c.html', 'name': 'E. Johnston'}]",NHL,PIT,1982-83,18,53,0,Pittsburgh Penguins,.281,,9,80,6th
75,"[{'link': '/coaches/johnsed01c.html', 'name': 'E. Johnston'}]",NHL,PIT,1981-82,31,36,0,Pittsburgh Penguins,.469,Lost NHL Division Semi-Finals,13,80,4th
73,"[{'link': '/coaches/johnsed01c.html', 'name': 'E. Johnston'}]",NHL,PIT,1980-81,30,37,0,Pittsburgh Penguins,.456,Lost NHL Preliminary Round,13,80,3rd
73,"[{'link': '/coaches/wilsojo01c.html', 'name': 'J. Wilson'}]",NHL,PIT,1979-80,30,37,0,Pittsburgh Penguins,.456,Lost NHL Preliminary Round,13,80,3rd
85,"[{'link': '/coaches/wilsojo01c.html', 'name': 'J. Wilson'}]",NHL,PIT,1978-79,36,31,0,Pittsburgh Penguins,.531,Lost NHL Quarter-Finals,13,80,2nd
68,"[{'link': '/coaches/wilsojo01c.html', 'name': 'J. Wilson'}]",NHL,PIT,1977-78,25,37,0,Pittsburgh Penguins,.425,,18,80,4th
81,"[{'link': '/coaches/schinke01c.html', 'name': 'K. Schinkel'}]",NHL,PIT,1976-77,34,33,0,Pittsburgh Penguins,.506,Lost NHL Preliminary Round,13,80,3rd
82,"[{'link': '/coaches/boilema01c.html', 'name': 'M. Boileau'}, {'link': '/coaches/schinke01c.html', 'name': 'K. Schinkel'}]",NHL,PIT,1975-76,35,33,0,Pittsburgh Penguins,.513,Lost NHL Preliminary Round,12,80,3rd
89,"[{'link': '/coaches/boilema01c.html', 'name': 'M. Boileau'}]",NHL,PIT,1974-75,37,28,0,Pittsburgh Penguins,.556,Lost NHL Quarter-Finals,15,80,3rd
65,"[{'link': '/coaches/schinke01c.html', 'name': 'K. Schinkel'}, {'link': '/coaches/boilema01c.html', 'name': 'M. Boileau'}]",NHL,PIT,1973-74,28,41,0,Pittsburgh Penguins,.417,,9,78,5th
73,"[{'link': '/coaches/kellyre01c.html', 'name': 'R. Kelly'}, {'link': '/coaches/schinke01c.html', 'name': 'K. Schinkel'}]",NHL,PIT,1972-73,32,37,0,Pittsburgh Penguins,.468,,9,78,5th
66,"[{'link': '/coaches/kellyre01c.html', 'name': 'R. Kelly'}]",NHL,PIT,1971-72,26,38,0,Pittsburgh Penguins,.423,Lost NHL Quarter-Finals,14,78,4th
62,"[{'link': '/coaches/kellyre01c.html', 'name': 'R. Kelly'}]",NHL,PIT,1970-71,21,37,0,Pittsburgh Penguins,.397,,20,78,6th
64,"[{'link': '/coaches/kellyre01c.html', 'name': 'R. Kelly'}]",NHL,PIT,1969-70,26,38,0,Pittsburgh Penguins,.421,Lost NHL Semi-Finals,12,76,2nd
51,"[{'link': '/coaches/sullire01c.html', 'name': 'R. Sullivan'}]",NHL,PIT,1968-69,20,45,0,Pittsburgh Penguins,.336,,11,76,5th
67,"[{'link': '/coaches/sullire01c.html', 'name': 'R. Sullivan'}]",NHL,PIT,1967-68,27,34,0,Pittsburgh Penguins,.453,,13,74,5th
