assists,team,goals,year,games_played,points,pim,age,plus_minus,league
12,2 Teams,0,1983-84,63,12,77,17,0,WHL
5,Portland Winter Hawks,0,1983-84,18,5,15,17,0,WHL
7,Seattle Breakers,0,1983-84,45,7,62,17,0,WHL
13,Seattle Breakers,3,1984-85,69,16,273,18,0,WHL
20,Seattle Thunderbirds,6,1985-86,66,26,394,19,0,WHL
21,2 Teams,4,1986-87,35,25,170,20,0,WHL
18,Seattle Thunderbirds,1,1986-87,21,19,99,20,0,WHL
3,Medicine Hat Tigers,3,1986-87,14,6,71,20,0,WHL
7,Utica Devils,5,1987-88,71,12,316,21,0,AHL
0,Flint Spirits,1,1987-88,3,1,2,21,0,IHL
10,Utica Devils,2,1988-89,41,12,215,22,0,AHL
6,Utica Devils,3,1989-90,22,9,122,23,0,AHL
15,Utica Devils,3,1990-91,59,18,339,24,0,AHL
7,Utica Devils,4,1991-92,50,11,224,25,0,AHL
15,Providence Bruins,2,1992-93,69,17,257,26,0,AHL
10,Providence Bruins,1,1993-94,32,11,157,27,0,AHL
1,Fresno Falcons,1,1994-95,3,2,7,28,0,SunHL
12,Portland Pirates,0,1999-00,56,12,154,33,6,AHL
1,Portland Pirates,0,2000-01,6,1,12,34,1,AHL
