assists,team,goals,year,games_played,points,pim,age,plus_minus,league
9,St. Sebastian\'s School,2,2010-11,27,11,0,14,0,USHS
24,St. Sebastian\'s School,5,2011-12,28,29,0,15,0,USHS
1,Boston Advantage U18,1,2011-12,9,2,5,15,0,T1EHL U18
24,St. Sebastian\'s School,10,2012-13,28,34,0,16,0,USHS
2,Cape Cod Whalers U18,1,2012-13,10,3,19,16,0,MHSL U18
14,USNTDP Juniors,6,2013-14,31,20,18,17,-2,USHL
4,USA U18,1,2013-14,7,5,4,17,6,WJC-18
2,USA U17,1,2013-14,6,3,10,17,0,WHC-17
24,U.S. National U17 Team,8,2013-14,45,32,34,17,0,USDP
11,U.S. National U18 Team,2,2013-14,14,13,4,17,0,USDP
18,Boston College,5,2014-15,37,23,16,18,12,NCAA
2,USA U20,0,2014-15,5,2,0,18,3,WJC-20
2,USA,1,2015-16,10,3,4,19,0,WC
