pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Hamilton Victorias,2,0,3,OHA-Jr.,3,1931-32,16,1
17,Sudbury Cub Wolves,3,0,10,NBHL,8,1933-34,18,7
10,Falconbridge Falcons,2,0,10,NBHL,8,1934-35,19,8
12,Falconbridge Falcons,7,0,14,NBHL,10,1935-36,20,7
16,Falconbridge Falcons,3,0,10,NBHL,14,1936-37,21,7
22,Falconbridge Falcons,2,0,5,NBHL,15,1937-38,22,3
10,Kirkland Lake Blue Devils,12,0,19,GBHL,8,1938-39,23,7
16,Kirkland Lake Blue Devils,5,0,25,Exhib.,15,1939-40,24,20
22,Niagara Falls Cataracts,20,0,41,OHA-Sr.,32,1940-41,25,21
0,Toronto Telegram,1,0,2,TIHL,2,1940-41,25,1
13,Niagara Falls Cataracts,13,0,25,OHA-Sr.,25,1941-42,26,12
8,Niagara Falls Cataracts,16,0,21,OHA-Sr.,22,1942-43,27,5
6,Providence Reds,21,0,44,AHL,51,1943-44,28,23
9,Hershey Bears,17,0,41,AHL,46,1944-45,29,24
4,Hershey Bears,8,0,20,AHL,41,1945-46,30,12
2,Houston Huskies,6,0,6,USHL,9,1946-47,31,0
4,Hamilton Tigers,5,0,17,OHA-Sr.,27,1948-49,33,12
11,Hamilton Tigers,1,0,1,OHA-Sr.,13,1949-50,34,0
