age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
28,,25.0,1,3,-1,NHL,12,0,1996-97,0,8,2,,1,8,,BUF,5
29,,13.3,1,4,0,NHL,15,1,1997-98,0,15,2,,0,8,,BUF,6
30,,0.0,0,0,-1,NHL,2,0,1998-99,0,7,0,22:08,0,0,44,BUF,0
