points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/greentr01c.html', 'name': 'T. Green'}]",NHL,VAN,2017-18,0,0,0,Vancouver Canucks,0,,0,0,
69,"[{'link': '/coaches/desjawi99c.html', 'name': 'W. Desjardins'}]",NHL,VAN,2016-17,30,43,9,Vancouver Canucks,.421,,0,82,7th
75,"[{'link': '/coaches/desjawi99c.html', 'name': 'W. Desjardins'}]",NHL,VAN,2015-16,31,38,13,Vancouver Canucks,.457,,0,82,6th
101,"[{'link': '/coaches/desjawi99c.html', 'name': 'W. Desjardins'}]",NHL,VAN,2014-15,48,29,5,Vancouver Canucks,.616,Lost NHL First Round,0,82,2nd
83,"[{'link': '/coaches/tortojo99c.html', 'name': 'J. Tortorella'}]",NHL,VAN,2013-14,36,35,11,Vancouver Canucks,.506,,0,82,5th
59,"[{'link': '/coaches/vigneal01c.html', 'name': 'A. Vigneault'}]",NHL,VAN,2012-13,26,15,7,Vancouver Canucks,.615,Lost NHL Conference Quarter-Finals,0,48,1st
111,"[{'link': '/coaches/vigneal01c.html', 'name': 'A. Vigneault'}]",NHL,VAN,2011-12,51,22,9,Vancouver Canucks,.677,Lost NHL Conference Quarter-Finals,0,82,1st
117,"[{'link': '/coaches/vigneal01c.html', 'name': 'A. Vigneault'}]",NHL,VAN,2010-11,54,19,9,Vancouver Canucks,.713,Lost Stanley Cup Final,0,82,1st
103,"[{'link': '/coaches/vigneal01c.html', 'name': 'A. Vigneault'}]",NHL,VAN,2009-10,49,28,5,Vancouver Canucks,.628,Lost NHL Conference Semi-Finals,0,82,1st
100,"[{'link': '/coaches/vigneal01c.html', 'name': 'A. Vigneault'}]",NHL,VAN,2008-09,45,27,10,Vancouver Canucks,.610,Lost NHL Conference Semi-Finals,0,82,1st
88,"[{'link': '/coaches/vigneal01c.html', 'name': 'A. Vigneault'}]",NHL,VAN,2007-08,39,33,10,Vancouver Canucks,.537,,0,82,5th
105,"[{'link': '/coaches/vigneal01c.html', 'name': 'A. Vigneault'}]",NHL,VAN,2006-07,49,26,7,Vancouver Canucks,.640,Lost NHL Conference Semi-Finals,0,82,1st
