assists,year,games_played,points,goals,team,age,pim,plus_minus,league
43,2006-07,52,73,30,Stratford Cullitons,17,68,0,ON-Jr.B
36,2007-08,46,63,27,Penticton Vees,18,14,0,BCHL
12,2008-09,37,25,13,Ohio State University,19,25,0,CCHA
24,2009-10,39,45,21,Ohio State University,20,19,0,CCHA
2,2009-10,9,8,6,Albany River Rats,20,0,0,AHL
34,2010-11,61,57,23,Charlotte Checkers,21,21,7,AHL
14,2011-12,56,32,18,Charlotte Checkers,22,17,-1,AHL
21,2012-13,54,42,21,Charlotte Checkers,23,12,16,AHL
3,2013-14,6,3,0,Utica Comets,24,2,-6,AHL
12,2014-15,44,28,16,Rochester Americans,25,0,-7,AHL
1,2015-16,8,4,3,Iowa Wild,26,24,1,AHL
6,2016-17,32,16,10,2 Teams,27,22,-2,AHL
0,2016-17,12,2,2,Iowa Wild,27,0,0,AHL
6,2016-17,20,14,8,Cleveland Monsters,27,22,-2,AHL
