assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Port Arthur Flyers,0,1942-43,5,0,10,16,0,TBJHL
4,Port Arthur Flyers,3,1943-44,6,7,4,17,0,TBJHL
1,Port Arthur Flyers,0,1943-44,7,1,12,17,0,M-Cup
6,Port Arthur Flyers,4,1945-46,5,10,8,19,0,TBJHL
1,Moose Jaw Canucks,2,1945-46,5,3,6,19,0,M-Cup
0,New York Rovers,0,1946-47,7,0,7,20,0,EAHL
1,New Haven Ramblers,0,1947-48,4,1,4,21,0,AHL
4,Edmonton Flyers,3,1953-54,13,7,5,27,0,WHL
0,Edmonton Flyers,2,1954-55,9,2,20,28,0,WHL
2,Edmonton Flyers,0,1954-55,7,2,14,28,0,Ed-Cup
0,Edmonton Flyers,0,1955-56,3,0,0,29,0,WHL
1,New Westminster Royals,0,1957-58,4,1,6,31,0,WHL
3,Port Arthur Bearcats,0,1959-60,7,3,6,33,0,Al-Cup
2,Port Arthur Bearcats,2,1960-61,5,4,2,34,0,TBSHL
2,Port Arthur Bearcats,1,1960-61,4,3,4,34,0,Al-Cup
