assists,team,goals,year,games_played,points,pim,age,plus_minus,league
3,HC Davos Jr.,1,1998-99,2,4,35,17,0,Swiss-Jr.
0,HC Davos,0,1998-99,4,0,0,17,0,Swiss
0,HC Davos,0,1999-00,5,0,0,18,0,Swiss
2,Windsor Spitfires,0,2000-01,7,2,11,19,0,OHL
0,Milwaukee Admirals,0,2000-01,1,0,0,19,0,IHL
1,Toledo Storm,0,2002-03,7,1,2,21,0,ECHL
3,Kloten Flyers,1,2004-05,5,4,8,23,0,Swiss
0,Rochester Americans,2,2006-07,6,2,6,25,-3,AHL
0,HC Lugano,0,2007-08,2,0,10,26,0,Swiss
2,HC Lugano,0,2008-09,7,2,12,27,0,Swiss
0,HC Lugano,0,2009-10,4,0,10,28,0,Swiss
0,Karpat Oulu,0,2010-11,3,0,6,29,0,Finland
2,EV Zug,0,2011-12,9,2,16,30,0,Swiss
2,EV Zug,1,2012-13,14,3,45,31,0,Swiss
