assists,year,games_played,points,goals,team,age,pim,plus_minus,league
11,1980-81,13,14,3,North York Flames,17,30,0,ON-Jr.B
0,1980-81,2,1,1,Wexford Raiders,17,0,0,ON-Jr.A
14,1982-83,15,24,10,North York Flames,19,89,0,ON-Jr.B
0,1982-83,3,1,1,Orillia Travelways,19,6,0,ON-Jr.A
11,1983-84,44,20,9,Bowling Green University,20,65,0,CCHA
21,1984-85,37,30,9,Bowling Green University,21,105,0,CCHA
26,1985-86,41,52,26,Bowling Green University,22,124,0,CCHA
40,1986-87,39,68,28,Bowling Green University,23,141,0,CCHA
3,1987-88,8,4,1,Moncton Hawks,24,26,0,AHL
25,1989-90,49,41,16,Moncton Hawks,26,81,0,AHL
45,1990-91,66,64,19,Moncton Hawks,27,105,0,AHL
24,1991-92,46,36,12,Phoenix Roadrunners,28,103,0,IHL
0,1992-93,1,0,0,Adirondack Red Wings,29,2,0,AHL
50,1992-93,50,90,40,Toledo Storm,29,190,0,ECHL
8,1993-94,8,14,6,Toledo Storm,30,23,0,ECHL
34,1994-95,37,43,9,Toledo Storm,31,133,0,ECHL
11,1996-97,12,18,7,Nashville Nighthawks,33,68,0,CHL
22,1997-98,35,26,4,Nashville Ice Flyers,34,77,0,CHL
