assists,team,goals,year,games_played,points,pim,age,plus_minus,league
31,Massena Central High School,22,1983-84,27,53,15,17,0,High-NY
27,Northwood Huskies,20,1984-85,34,47,30,18,0,High-NY
10,St. Lawrence University,2,1985-86,25,12,40,19,0,ECAC
15,St. Lawrence University,8,1986-87,35,23,44,20,0,ECAC
12,St. Lawrence University,6,1987-88,38,18,18,21,0,ECAC
25,St. Lawrence University,8,1988-89,36,33,30,22,0,ECAC
2,Denver Rangers,0,1988-89,8,2,13,22,0,IHL
34,Flint Spirits,3,1989-90,74,37,38,23,0,IHL
0,San Diego Gulls,1,1990-91,2,1,0,24,0,IHL
11,Binghamton Rangers,2,1990-91,33,13,27,24,0,AHL
39,Binghamton Rangers,16,1991-92,79,55,64,25,0,AHL
25,Binghamton Rangers,11,1992-93,45,36,46,26,0,AHL
33,Cornwall Aces,13,1993-94,77,46,100,27,0,AHL
49,Cornwall Aces,11,1994-95,74,60,69,28,0,AHL
16,2 Teams,4,1995-96,60,20,55,29,0,IHL
4,Minnesota Moose,1,1995-96,22,5,22,29,0,IHL
12,Houston Aeros,3,1995-96,38,15,33,29,0,IHL
24,Houston Aeros,11,1996-97,70,35,62,30,0,IHL
20,Rochester Americans,10,1997-98,45,30,48,31,-1,AHL
39,Rochester Americans,15,1998-99,72,54,46,32,19,AHL
29,Rochester Americans,10,1999-00,74,39,83,33,6,AHL
26,Rochester Americans,6,2000-01,53,32,36,34,4,AHL
9,Rochester Americans,3,2001-02,44,12,44,35,-1,AHL
