assists,team,goals,year,games_played,points,pim,age,plus_minus,league
2,Djurgardens IF Stockholm Jr.,7,1995-96,24,9,4,16,0,Swe-Jr.
35,Djurgardens IF Stockholm Jr.,29,1996-97,39,64,110,17,0,Swe-Jr.
0,Djurgardens IF Stockholm,0,1996-97,9,0,0,17,0,Sweden
3,Sweden,1,1996-97,6,4,6,17,0,EJC-A
3,Farjestads BK Karlstad,2,1997-98,41,5,6,18,0,Sweden
2,Farjestads BK Karlstad,2,1997-98,5,4,2,18,0,EuroHL
1,Sweden,0,1997-98,7,1,28,18,0,WJC-A
2,Farjestads BK Karlstad Jr.,2,1998-99,2,4,2,19,0,Swe-Jr.
0,Farjestads BK Karlstad,0,1998-99,3,0,0,19,0,EuroHL
0,Farjestads BK Karlstad,0,1998-99,15,0,6,19,0,Sweden
0,Hammarby IF Stockholm,2,1998-99,3,2,0,19,0,Sweden-2
3,TPS Turku,12,1999-00,54,15,14,20,0,Finland
5,TPS Turku,4,2000-01,46,9,8,21,0,Finland
13,TPS Turku,9,2001-02,56,22,16,22,0,Finland
25,TPS Turku,15,2002-03,56,40,36,23,0,Finland
7,Cincinnati Mighty Ducks,7,2003-04,24,14,20,24,0,AHL
32,Cincinnati Mighty Ducks,14,2004-05,79,46,111,25,-2,AHL
10,Frolunda HC Goteborg,7,2007-08,53,17,51,28,0,Sweden
0,Sweden,0,2007-08,7,0,6,28,0,WC-A
10,Djurgardens IF Stockholm,9,2008-09,53,19,78,29,0,Sweden
9,Djurgardens IF Stockholm,9,2009-10,52,18,20,30,0,Sweden
5,Linkopings HC,5,2010-11,51,10,39,31,0,Sweden
2,Linkopings HC,0,2011-12,48,2,22,32,0,Sweden
