assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Farjestads BK Karlstad,0,1997-98,7,0,0,18,0,Sweden
0,Farjestads BK Karlstad,0,1998-99,1,0,0,19,0,EuroHL
3,TPS Turku,2,1999-00,11,5,4,20,0,Finland
3,TPS Turku,1,2000-01,10,4,2,21,0,Finland
0,TPS Turku,1,2001-02,8,1,12,22,0,Finland
0,TPS Turku,0,2002-03,7,0,4,23,0,Finland
2,Cincinnati Mighty Ducks,2,2004-05,11,4,10,25,2,AHL
0,Frolunda HC Goteborg,0,2007-08,4,0,2,28,0,Sweden
2,Djurgardens IF Stockholm,0,2009-10,9,2,2,30,0,Sweden
5,Linkopings HC,2,2010-11,7,7,2,31,0,Sweden
