year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1995-96,17,13,61,12,0,WHL,65,Portland Winter Hawks,25
1996-97,18,39,149,49,37,WHL,71,Portland Winter Hawks,88
1997-98,19,34,184,52,51,WHL,68,Portland Winter Hawks,86
1998-99,20,41,248,44,-1,WHL,61,Portland Winter Hawks,85
1998-99,20,1,4,7,0,WJC-A,7,Canada,8
1999-00,21,2,18,0,0,IHL,9,Michigan K-Wings,2
2000-01,22,0,0,0,-2,WC-A,1,Canada,0
2001-02,23,0,2,1,-1,WC-A,7,Canada,1
2003-04,25,0,12,3,2,WC-A,9,Canada,3
2004-05,26,0,4,0,0,W-Cup,1,Canada,0
2004-05,26,8,31,14,6,CHL,19,Oklahoma City Blazers,22
2004-05,26,0,6,1,-3,WC-A,9,Canada,1
2009-10,31,2,2,1,0,Olympics,7,Canada,3
