shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,1239,23,0,2002-03,0,1,5.28,QMJHL,0,109,0,0,19,0,0,17,0,0,0,0,Rimouski Oceanic
0,0,0,0,1119,20,0,2003-04,0,8,3.86,QMJHL,0,72,0,0,11,0,0,18,0,0,0,0,Rimouski Oceanic
0,0,4,0,2439,44,0,2004-05,0,30,2.95,QMJHL,0,120,0,0,7,0,0,19,0,2,0,0,Rimouski Oceanic
0,0,0,0,2254,41,0,2005-06,0,28,2.95,QMJHL,0,111,0,0,10,0,0,20,0,5,0,0,Quebec Remparts
0,0,0,0,142,3,0,2006-07,0,0,2.96,AHL,0,7,0,0,2,0,0,21,0,0,0,0,Hamilton Bulldogs
0,0,1,0,2648,45,0,2006-07,0,24,2.54,ECHL,0,112,0,0,19,0,0,21,0,4,0,0,Cincinnati Cyclones
317,0,2,288,572,12,0,2007-08,0,4,3.04,AHL,0,29,0,0,3,0,.909,22,0,0,0,0,Hamilton Bulldogs
625,0,2,584,1285,22,0,2007-08,0,16,1.91,ECHL,0,41,0,0,4,0,.934,22,0,5,0,0,Cincinnati Cyclones
0,0,0,0,1718,30,0,2008-09,0,16,2.55,AHL,0,73,0,0,12,0,0,23,2,4,0,0,Hamilton Bulldogs
1067,0,4,981,2576,47,1,2009-10,0,29,2.00,AHL,0,86,0,0,9,0,.919,24,0,6,1,0,Hamilton Bulldogs
632,0,1,572,1391,24,2,2010-11,0,15,2.59,AHL,0,60,0,0,6,0,.905,25,0,1,2,0,Norfolk Admirals
997,0,5,929,1936,32,1,2011-12,0,16,2.11,AHL,0,68,0,0,11,0,.932,26,10,3,1,0,Lake Erie Monsters
1030,0,3,937,2136,36,1,2012-13,0,15,2.61,AHL,0,93,0,0,18,0,.910,27,4,5,1,0,2 Teams
666,0,2,603,1285,22,1,2012-13,0,7,2.94,AHL,0,63,0,0,13,0,.905,27,4,2,1,0,Hamilton Bulldogs
364,0,1,334,851,14,0,2012-13,0,8,2.12,AHL,0,30,0,0,5,0,.918,27,0,3,0,0,Syracuse Crunch
0,0,0,0,0,0,0,2013-14,0,0,0,AHL,0,0,0,0,0,0,0,28,0,0,0,0,Syracuse Crunch
0,0,0,0,0,0,0,2014-15,0,0,0,AHL,0,0,0,0,0,0,0,29,0,0,0,0,Hartford Wolf Pack
