assists,year,games_played,points,goals,team,age,pim,plus_minus,league
32,1979-80,50,50,18,Sarnia Black Hawks,16,0,0,Minor-ON
40,1980-81,41,60,20,Sarnia Bees,17,0,0,ON-Jr.B
30,1981-82,41,43,13,Sarnia Bees,18,86,0,ON-Jr.B
16,1982-83,29,19,3,RPI Engineers,19,54,0,ECAC
12,1983-84,38,14,2,RPI Engineers,20,60,0,ECAC
26,1984-85,36,33,7,RPI Engineers,21,76,0,ECAC
29,1985-86,32,36,7,RPI Engineers,22,58,0,ECAC
11,1986-87,42,15,4,Peoria Rivermen,23,93,0,IHL
12,1987-88,37,33,21,Peoria Rivermen,24,97,0,IHL
12,1988-89,36,15,3,Salt Lake Golden Eagles,25,57,0,IHL
4,1988-89,7,4,0,New Haven Nighthawks,25,4,0,AHL
10,1989-90,8,16,6,Peterborough Pirates,26,26,0,Aut-Cup
24,1989-90,30,60,36,Peterborough Pirates,26,136,0,Britain
0,1991-92,3,0,0,2 Teams,28,15,0,ColHL
0,1991-92,2,0,0,St. Thomas Wildcats,28,0,0,ColHL
0,1991-92,1,0,0,Flint Bulldogs,28,15,0,ColHL
12,1995-96,11,15,3,Brantford Smoke,32,18,0,ColHL
2,1996-97,17,2,0,Port Huron Border Cats,33,10,0,ColHL
6,1997-98,12,7,1,Port Huron Border Cats,34,6,0,UHL
0,1998-99,2,0,0,Port Huron Border Cats,35,0,0,UHL
