even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,BUF,0,17,22,0,,NHL,0,4,,1988-89,5,0.0,,0,0,-1
0,0,BUF,0,10,23,0,,NHL,0,2,,1989-90,3,0.0,,0,0,0
3,1,BUF,3,10,24,0,,NHL,0,13,,1990-91,5,23.1,,0,4,-1
4,6,NYI,6,31,26,1,,NHL,0,37,,1992-93,18,16.2,,0,12,7
0,1,NYI,0,4,27,0,,NHL,0,5,,1993-94,4,0.0,,0,1,-3
0,0,TOR,0,6,28,0,,NHL,0,6,,1994-95,7,0.0,,0,0,-4
1,2,DAL,2,6,30,0,,NHL,0,16,,1996-97,7,12.5,,1,4,-1
3,2,DAL,4,16,31,2,,NHL,0,23,,1997-98,17,17.4,,1,6,0
0,2,DAL,0,16,32,0,191,NHL,0,20,13:36,1998-99,14,0.0,SC,0,2,-1
1,2,PHX,1,2,33,0,85,NHL,0,4,17:03,1999-00,5,25.0,,0,3,2
1,0,DAL,1,6,34,1,59,NHL,0,3,8:25,2000-01,7,33.3,,0,1,-4
